"","INSTNM","CITY","INSTURL","Ranking","ADM_RATE","CONTROL","HIGHDEG","FAMINC"
"330","Argosy University-The Art Institute of California-San Francisco","San Francisco","www.artinstitutes.edu/san-francisco/","> 230","NULL","Private for-profit","Graduate degree","24353.155675"
"331","Argosy University-The Art Institute of California-Silicon Valley","Sunnyvale","www.artinstitutes.edu/silicon-valley/","> 230","NULL","Private for-profit","Bachelor's degree","24353.155675"
"332","Argosy University-Twin Cities","Eagan","www.argosy.edu/twincities/","> 230","NULL","Private for-profit","Graduate degree","24353.155675"
"333","Aria Health School of Nursing","Trevose","www.ariahealth.org/default.aspx?pageid=3330","> 230","0.5556","Private nonprofit","Certificate degree","61263.522222"
"334","Arizona Academy of Beauty-East","Tucson","www.arizonaacademy.com","> 230","NULL","Private for-profit","Certificate degree","20075.723214"
"335","Arizona Automotive Institute","Glendale","www.aai.edu","> 230","NULL","Private for-profit","Certificate degree","22994.267789"
"336","Arizona Christian University","Phoenix","www.arizonachristian.edu","> 230","0.5916","Private nonprofit","Bachelor's degree","53447.115385"
"337","Arizona College-Glendale","Glendale","www.arizonacollege.edu","> 230","NULL","Private for-profit","Associate degree","25196.822086"
"338","Arizona College-Las Vegas","Las Vegas","www.arizonacollege.edu","> 230","0.7389","Private for-profit","Non-degree-granting","25196.822086"
"339","Arizona College-Mesa","Mesa","www.arizonacollege.edu","> 230","NULL","Private for-profit","Bachelor's degree","25196.822086"
"340","Arizona Culinary Institute","Scottsdale","www.azculinary.edu","> 230","NULL","Private for-profit","Certificate degree","37607.383234"
"341","Arizona School of Acupuncture and Oriental Medicine","Tucson","www.asaom.edu","> 230","NULL","Private for-profit","Graduate degree","NULL"
"342","Arizona School of Integrative Studies","Tucson","asismassage.edu/","> 230","NULL","Private for-profit","Certificate degree","27652"
"343","Arizona State University-Downtown Phoenix","Phoenix","www.asu.edu/","> 230","0.767","Public","Graduate degree","56365.776329"
"344","Arizona State University-Polytechnic","Mesa","www.asu.edu/","> 230","0.7609","Public","Graduate degree","56365.776329"
"345","Arizona State University-Skysong","Scottsdale","www.asu.edu/","> 230","0.6206","Public","Graduate degree","56365.776329"
"346","Arizona State University-Tempe","Tempe","www.asu.edu/","115","0.825","Public","Graduate degree","56365.776329"
"347","Arizona State University-West","Glendale","www.asu.edu/","> 230","0.7786","Public","Graduate degree","56365.776329"
"348","Arizona Summit Law School","Phoenix","www.azsummitlaw.edu","> 230","NULL","Private for-profit","Graduate degree","NULL"
"349","Arizona Western College","Yuma","www.azwestern.edu","> 230","NULL","Public","Associate degree","25140.539941"
"350","Arkansas Baptist College","Little Rock","www.arkansasbaptist.edu","> 230","NULL","Private nonprofit","Bachelor's degree","20377.133714"
"351","Arkansas Beauty College","Russellville","www.arkansasbeautycollegersvlar.com/","> 230","NULL","Private for-profit","Certificate degree","29275"
"352","Arkansas Beauty School-Little Rock","Little Rock","arkbeautyschool.com","> 230","NULL","Private for-profit","Certificate degree","13911.447514"
"353","Arkansas College of Barbering and Hair Design","North Little Rock","www.arkansascollegeofbarbering.com","> 230","NULL","Private for-profit","Certificate degree","13660.455056"
"354","Arkansas Northeastern College","Blytheville","www.anc.edu","> 230","NULL","Public","Associate degree","22329.569132"
"355","Arkansas State University-Beebe","Beebe","www.asub.edu","> 230","NULL","Public","Associate degree","32775.848818"
"356","Arkansas State University-Main Campus","Jonesboro","www.astate.edu/","> 230","0.704","Public","Graduate degree","46692.785187"
"357","Arkansas State University-Mountain Home","Mountain Home","www.asumh.edu","> 230","NULL","Public","Associate degree","26415.912297"
"358","Arkansas State University-Newport","Newport","www.asun.edu","> 230","NULL","Public","Associate degree","29371.627939"
"359","Arkansas State University Mid-South","West Memphis","www.asumidsouth.edu","> 230","NULL","Public","Associate degree","17675.934211"
"360","Arkansas Tech University","Russellville","www.atu.edu","> 230","0.6391","Public","Graduate degree","43667.734147"
"361","Arlington Baptist University","Arlington","https://abu.edu","> 230","NULL","Private nonprofit","Graduate degree","60623.511628"
"362","Arlington Career Institute","Grand Prairie","www.arlingtonci.com","> 230","NULL","Private for-profit","Certificate degree","23162.552817"
"363","Armstrong State University","Savannah","https://www.armstrong.edu","> 230","0.8038","Public","Graduate degree","47162.007311"
"364","Arnolds Beauty School","Milan","arnoldsbeautyschool.com","> 230","NULL","Private for-profit","Certificate degree","34159.444444"
"365","Arnot Ogden Medical Center","Elmira","www.arnothealth.org","> 230","0.4545","Private nonprofit","Certificate degree","34930.25641"
"366","Arrojo Cosmetology School","New York","www.arrojocosmetology.com","> 230","NULL","Private for-profit","Certificate degree","41746.244604"
"367","Art Academy of Cincinnati","Cincinnati","www.artacademy.edu","> 230","0.3054","Private nonprofit","Graduate degree","61940.907801"
"368","Art Center College of Design","Pasadena","www.artcenter.edu","> 230","0.6925","Private nonprofit","Graduate degree","51484.238267"
"369","Arthur's Beauty College-Jonesboro","Jonesboro","www.arthursbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","21634.813253"
"370","Arthur's Beauty College Inc-Fort Smith","Fort Smith","www.arthursbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","21634.813253"
"371","Arthur's Beauty College Inc-Jacksonville","Jacksonville","arthursbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","24147.57971"
"372","Arthur's Beauty School Inc-Conway","Conway","www.arthursbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","24147.57971"
"373","Artistic Academy of Hair Design","Morris Plains","www.artisticacademy.com","> 230","NULL","Private for-profit","Certificate degree","63441.254658"
"374","Artistic Nails and Beauty Academy-Lakeland","Lakeland","www.artisticbeautyschool.com/","> 230","NULL","Private for-profit","Certificate degree","17654.390411"
"375","Artistic Nails and Beauty Academy-Tampa","Tampa","www.artisticbeautyschool.com","> 230","NULL","Private for-profit","Certificate degree","17654.390411"
"376","ASA College","Brooklyn","www.asa.edu","> 230","NULL","Private for-profit","Associate degree","16961.678723"
"377","Asbury Theological Seminary","Wilmore","www.asburyseminary.edu","> 230","NULL","Private nonprofit","Graduate degree","20415.594595"
"378","Asbury University","Wilmore","www.asbury.edu","> 230","0.696","Private nonprofit","Graduate degree","67719"
"379","Asher College","Sacramento","www.asher.edu","> 230","NULL","Private for-profit","Associate degree","23056.105546"
"380","Asheville-Buncombe Technical Community College","Asheville","www.abtech.edu","> 230","NULL","Public","Associate degree","25501.624957"
"381","Ashford University","San Diego","www.ashford.edu","> 230","NULL","Private for-profit","Graduate degree","22866.102939"
"382","Ashland Community and Technical College","Ashland","https://ashland.kctcs.edu/","> 230","NULL","Public","Associate degree","29314.912471"
"383","Ashland County-West Holmes Career Center","Ashland","www.acwhcc.org","> 230","NULL","Public","Certificate degree","26437.983193"
"384","Ashland University","Ashland","https://www.ashland.edu","> 230","0.7247","Private nonprofit","Graduate degree","37594.243181"
"385","Ashtabula County Technical and Career Campus","Jefferson","www.atech.edu","> 230","NULL","Public","Certificate degree","23656.412903"
"386","ASI Career Institute","Turnersville","ASI.edu","> 230","NULL","Private for-profit","Certificate degree","23493.169492"
"387","Asian-American International Beauty College","Westminster","www.aabeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","11844.396648"
"388","ASM Beauty World Academy","Davie","www.asm.edu","> 230","NULL","Private for-profit","Certificate degree","17128.465347"
"389","Asnuntuck Community College","Enfield","www.Asnuntuck.edu","> 230","NULL","Public","Associate degree","27026.583262"
"390","Aspen Beauty Academy of Laurel","Laurel","www.aspenlaurel.com","> 230","NULL","Private for-profit","Certificate degree","22393.651163"
"391","Aspen University","Denver","www.aspen.edu","> 230","NULL","Private for-profit","Graduate degree","24920.89781"
"392","Assabet Valley Regional Technical School","Marlborough","www.assabet.org","> 230","0.3182","Public","Certificate degree","34489.641791"
"393","Associated Barber College of San Diego","San Diego","www.sandiegobarbercollege.com","> 230","NULL","Private for-profit","Certificate degree","18319.739437"
"394","Associated Beth Rivkah Schools","Brooklyn","dhl.bethrivkah.edu/","> 230","0.5782","Private nonprofit","Certificate degree","31114.666667"
"395","Associated Technical College-Los Angeles","Los Angeles","www.atcla.edu","> 230","NULL","Private for-profit","Certificate degree","8382.4641676"
"396","Associated Technical College-San Diego","San Diego","www.atcsd.edu","> 230","NULL","Private for-profit","Certificate degree","6578.2407407"
"397","Assumption College","Worcester","https://www.assumption.edu","> 230","0.7774","Private nonprofit","Graduate degree","112625.524"
"398","Astrodome Career Centers","Houston","www.astrodome.edu","> 230","NULL","Private for-profit","Certificate degree","20960.479592"
"399","ATA Career Education","Spring Hill","www.atafl.edu","> 230","NULL","Private for-profit","Associate degree","22343.249153"
"400","ATA College","Louisville","www.ata.edu","> 230","NULL","Private for-profit","Associate degree","22343.249153"
"401","Atelier Esthetique Institute of Esthetics","New York","www.aeinstitute.net","> 230","NULL","Private for-profit","Certificate degree","26596.37931"
"402","Atenas College","Manati","www.atenascollege.edu","> 230","NULL","Private nonprofit","Bachelor's degree","9099.1234043"
"403","Athena Career Academy","Toledo","www.athenacareers.edu","> 230","0.4096","Private for-profit","Certificate degree","21405.505848"
"404","Athens State University","Athens","www.athens.edu","> 230","NULL","Public","Bachelor's degree","38479.38737"
"405","Athens Technical College","Athens","www.athenstech.edu/","> 230","NULL","Public","Associate degree","21858.073583"
"406","ATI College-Norwalk","Norwalk","www.ati.edu","> 230","NULL","Private for-profit","Certificate degree","31620.2"
"407","Atlanta's John Marshall Law School","Atlanta","www.johnmarshall.edu","> 230","NULL","Private for-profit","Graduate degree","NULL"
"408","Atlanta Institute of Music and Media","Duluth","aimm.edu","> 230","0.8438","Private for-profit","Associate degree","55151.687831"
"409","Atlanta Metropolitan State College","Atlanta","www.atlm.edu","> 230","NULL","Public","Bachelor's degree","21715.586111"
"410","Atlanta School of Massage","Atlanta","www.atlantaschoolofmassage.com","> 230","NULL","Private for-profit","Certificate degree","25110.909651"
"411","Atlanta Technical College","Atlanta","www.atlantatech.edu/","> 230","NULL","Public","Associate degree","19281.699503"
"412","Atlantic Beauty & Spa Academy LLC","Egg Harbor Township","www.shorebeautyschool.edu","> 230","NULL","Private for-profit","Certificate degree","28653.803213"
"413","Atlantic Cape Community College","Mays Landing","www.atlantic.edu","> 230","NULL","Public","Associate degree","30218.320026"
"414","Atlantic Institute of Oriental Medicine","Fort Lauderdale","www.atom.edu","> 230","NULL","Private nonprofit","Graduate degree","8374.8461538"
"415","Atlantic Technical College","Coconut Creek","www.atlantictechnicalcollege.edu","> 230","NULL","Public","Certificate degree","19320.887273"
"416","Atlantic University College","Guaynabo","www.atlanticu.edu","> 230","NULL","Private nonprofit","Graduate degree","18914.098451"
"417","Atlantis University","Miami","www.atlantisuniversity.edu","> 230","NULL","Private for-profit","Bachelor's degree","23564.586207"
"418","Auburn Career Center","Concord Twp","www.auburncc.org","> 230","NULL","Public","Certificate degree","34060.705128"
"419","Auburn University","Auburn","www.auburn.edu","115","0.8054","Public","Graduate degree","92148.626516"
"420","Auburn University at Montgomery","Montgomery","www.aum.edu","> 230","0.7659","Public","Graduate degree","41987.986288"
"421","Augsburg University","Minneapolis","www.augsburg.edu","> 230","0.4514","Private nonprofit","Graduate degree","64824.354411"
"422","Augusta School of Massage","Evans","www.augustamassage.com","> 230","NULL","Private for-profit","Certificate degree","22293.6"
"423","Augusta Technical College","Augusta","www.augustatech.edu","> 230","NULL","Public","Associate degree","19209.205991"
"424","Augusta University","Augusta","www.augusta.edu","> 230","0.7723","Public","Graduate degree","52193.71886"
"425","Augustana College","Rock Island","www.augustana.edu","> 230","0.5162","Private nonprofit","Bachelor's degree","101517.56354"
"426","Augustana University","Sioux Falls","www.augie.edu","> 230","0.6913","Private nonprofit","Graduate degree","92395.965574"
"427","Auguste Escoffier School of Culinary Arts-Austin","Austin","www.escoffier.edu","> 230","NULL","Private for-profit","Certificate degree","35994.942215"
"428","Auguste Escoffier School of Culinary Arts-Boulder","Boulder","www.escoffier.edu","> 230","NULL","Private for-profit","Certificate degree","36104.447154"
"429","Aultman College of Nursing and Health Sciences","Canton","www.aultmancollege.edu","> 230","0.7447","Private nonprofit","Bachelor's degree","45322.938525"
"430","Aurora University","Aurora","aurora.edu","> 230","0.8772","Private nonprofit","Graduate degree","60291.360663"
"431","Austin's Beauty College Inc","Clarksville","www.austinbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","25637.060606"
"432","Austin College","Sherman","www.austincollege.edu","> 230","0.5343","Private nonprofit","Graduate degree","79117.147122"
"433","Austin Community College District","Austin","www.austincc.edu","> 230","NULL","Public","Associate degree","34292.140295"
"434","Austin Graduate School of Theology","Austin","www.austingrad.edu","> 230","NULL","Private nonprofit","Graduate degree","43247.9"
"435","Austin Kade Academy","Idaho Falls","www.austinkade.com","> 230","NULL","Private for-profit","Certificate degree","24637.585271"
"436","Austin Peay State University","Clarksville","www.apsu.edu","> 230","0.8886","Public","Graduate degree","42445.253415"
"437","Austin Presbyterian Theological Seminary","Austin","www.austinseminary.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"438","Automeca Technical College-Aguadilla","Aguadilla","www.automeca.com","> 230","NULL","Private for-profit","Certificate degree","10918.22107"
"439","Automeca Technical College-Bayamon","Bayamon","www.automeca.com","> 230","NULL","Private for-profit","Certificate degree","10918.22107"
"440","Automeca Technical College-Caguas","Caguas","www.automeca.com","> 230","NULL","Private for-profit","Certificate degree","10918.22107"
"441","Automeca Technical College-Ponce","Ponce","www.automeca.com","> 230","NULL","Private for-profit","Certificate degree","10918.22107"
"442","Automotive Training Center-Exton","Exton","www.autotraining.edu","> 230","NULL","Private for-profit","Certificate degree","42102.882597"
"443","Automotive Training Center-Warminster","Warminster","www.autotraining.edu","> 230","NULL","Private for-profit","Certificate degree","42102.882597"
"444","Autry Technology Center","Enid","autrytech.edu","> 230","0.8443","Public","Certificate degree","24943.496552"
"445","Avalon School of Cosmetology","Worthington","avaloncosmetologyschool.com","> 230","NULL","Private for-profit","Certificate degree","21673"
"446","Avalon School of Cosmetology-Alameda","Alameda","avalon.edu/locations/alameda-ca/","> 230","NULL","Private for-profit","Certificate degree","23981.174888"
"447","Avalon School of Cosmetology-Layton","Layton","avalon.edu/locations/layton-ut/","> 230","NULL","Private for-profit","Certificate degree","35576.540666"
"448","Avalon School of Cosmetology-Mesa","Mesa","avalon.edu/locations/mesa-az/","> 230","NULL","Private for-profit","Certificate degree","35576.540666"
"449","Avalon School of Cosmetology-Phoenix","Phoenix","avalon.edu/locations/phoenix-az/","> 230","NULL","Private for-profit","Certificate degree","35576.540666"
"450","Avance Beauty College","San Diego","avancebeautycollege.edu","> 230","NULL","Private for-profit","Certificate degree","18145.69697"
"451","Avant Gard The School","Brownsburg","www.avantgardtheschool.com","> 230","NULL","Private for-profit","Certificate degree","36616.216216"
"452","Ave Maria School of Law","Naples","www.avemarialaw.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"453","Ave Maria University","Ave Maria","www.avemaria.edu","> 230","0.399","Private nonprofit","Graduate degree","95147.047109"
"454","Aveda Fredric's Institute-Cincinnati","West Chester","www.avedafi.edu","> 230","NULL","Private for-profit","Certificate degree","64634.012245"
"455","Aveda Fredric's Institute-Indianapolis","Indianapolis","www.avedafi.edu","> 230","NULL","Private for-profit","Certificate degree","59731.299065"
"456","Aveda Institute-Baton Rouge","Baton Rouge","aisouth.com","> 230","NULL","Private for-profit","Certificate degree","32126.406926"
"457","Aveda Institute-Boise","Boise","www.avedaidaho.com","> 230","NULL","Private for-profit","Certificate degree","35915.603448"
"458","Aveda Institute-Chapel Hill","Chapel Hill","nurturavedainstitutes.com/chapel-hill/","> 230","NULL","Private for-profit","Certificate degree","40722.667598"
"459","Aveda Institute-Chicago","Chicago","www.douglasj.edu/","> 230","NULL","Private for-profit","Certificate degree","45528.253219"
"460","Aveda Institute-Columbus","Columbus","nurturavedainstitutes.com/columbus/","> 230","NULL","Private for-profit","Certificate degree","37380.001517"
"461","Aveda Institute-Covington","Covington","aisouth.com","> 230","NULL","Private for-profit","Certificate degree","40964.247094"
"462","Aveda Institute-Denver","Denver","www.avedainstitutedenver.com/","> 230","NULL","Private for-profit","Certificate degree","43977.660156"
"463","Aveda Institute-Des Moines","West Des Moines","avedainstitutedesmoines.com/","> 230","NULL","Private for-profit","Certificate degree","50534.005"
"464","Aveda Institute-Lafayette","Lafayette","aisouth.com","> 230","NULL","Private for-profit","Certificate degree","41145.288889"
"465","Aveda Institute-Los Angeles","Los Angeles","nurturavedainstitutes.com/los-angeles/","> 230","NULL","Private for-profit","Certificate degree","37380.001517"
"466","Aveda Institute-Madison","Madison","www.avedainstitutemadison.com","> 230","NULL","Private for-profit","Certificate degree","43738.348668"
"467","Aveda Institute-Maryland","Bel Air","avedainstitutemd.edu","> 230","NULL","Private for-profit","Certificate degree","32950.272727"
"468","Aveda Institute-Minneapolis","Minneapolis","aveda.edu/minneapolis","> 230","NULL","Private for-profit","Certificate degree","60304.61285"
"469","Aveda Institute-New Mexico","Albuquerque","www.avedanm.com","> 230","NULL","Private for-profit","Certificate degree","33286.945813"
"470","Aveda Institute-New York","New York","aveda.edu/new-york/","> 230","NULL","Private for-profit","Certificate degree","33789.741379"
"471","Aveda Institute-Phoenix","Tempe","avedainstitutephoenix.com","> 230","NULL","Private for-profit","Certificate degree","44052.606557"
"472","Aveda Institute-Portland","Portland","avedapdx.com","> 230","NULL","Private for-profit","Certificate degree","35773.195876"
"473","Aveda Institute-Provo","Provo","avedainstituteprovo.com/","> 230","NULL","Private for-profit","Certificate degree","54409.096"
"474","Aveda Institute-San Antonio","San Antonio","https://avedainstitutessouth.edu","> 230","NULL","Private for-profit","Certificate degree","38553.31307"
"475","Aveda Institute-South Florida","Davie","https://avedainstitutessouth.edu/","> 230","NULL","Private for-profit","Certificate degree","34383.412628"
"476","Aveda Institute-Tallahassee","Tallahassee","www.aisouth.com","> 230","NULL","Private for-profit","Certificate degree","37448.533724"
"477","Aveda Institute-Tucson","Tucson","www.avedainstitutetucson.com","> 230","NULL","Private for-profit","Certificate degree","44052.606557"
"478","Aveda Institute-Twin Falls","Twin Falls","www.avedaidaho.com","> 230","NULL","Private for-profit","Certificate degree","24208.792208"
"479","Aveda Institute Portland-Vancouver Campus","Vancouver","avedapdx.com/about-our-school/locations/vancouver","> 230","NULL","Private for-profit","Certificate degree","35773.195876"
"480","Avenue Five Institute","Austin","www.avenuefive.com","> 230","NULL","Private for-profit","Certificate degree","30048.747851"
"481","Avera McKennan Hospital School of Radiologic Technology","Sioux Falls","www.avera.org","> 230","NULL","Private nonprofit","Certificate degree","NULL"
"482","Avera Sacred Heart Hospital","Yankton","www.averasacredheart.org","> 230","NULL","Private nonprofit","Certificate degree","NULL"
"483","Averett University","Danville","www.averett.edu","> 230","0.5666","Private nonprofit","Graduate degree","54227.402967"
"484","Averett University-Non-Traditional Programs","Danville","gps.averett.edu","> 230","0.4474","Private nonprofit","Graduate degree","54227.402967"
"485","Avery James School of Cosmetology","Lake Charles","averyjamesschool.com","> 230","NULL","Private for-profit","Certificate degree","17919.638298"
"486","Avi Career Training","Great Falls","www.AviCareerTraining.com","> 230","NULL","Private for-profit","Certificate degree","30269.075"
"487","Aviation Institute of Maintenance","Oakland","www.aviationmaintenance.edu","> 230","NULL","Private for-profit","Certificate degree","26811.586957"
"488","Aviation Institute of Maintenance-Atlanta","Duluth","www.aviationmaintenance.edu/campuses/duluth-ga/index.html","> 230","NULL","Private for-profit","Certificate degree","29927.25486"
"489","Aviation Institute of Maintenance-Chesapeake","Chesapeake","www.aviationmaintenance.edu","> 230","NULL","Private for-profit","Certificate degree","28999.424125"
"490","Aviation Institute of Maintenance-Dallas","Irving","www.aviationmaintenance.edu","> 230","NULL","Private for-profit","Certificate degree","30360.263911"
"491","Aviation Institute of Maintenance-Houston","Houston","www.aviationmaintenance.edu/campuses/houston-tx/index.html","> 230","NULL","Private for-profit","Certificate degree","31642.966581"
"492","Aviation Institute of Maintenance-Indianapolis","Indianapolis","www.aviationmaintenance.edu","> 230","NULL","Private for-profit","Certificate degree","28731.96748"
"493","Aviation Institute of Maintenance-Kansas City","Kansas City","www.aviationmaintenance.edu/campuses/kansas-city-mo/index.html","> 230","NULL","Private for-profit","Certificate degree","24978.984436"
"494","Aviation Institute of Maintenance-Las Vegas","Las Vegas","www.aviationmaintenance.edu","> 230","NULL","Private for-profit","Certificate degree","29927.25486"
"495","Aviation Institute of Maintenance-Manassas","Manassas","www.aviationmaintenance.edu","> 230","NULL","Private for-profit","Certificate degree","30814.279817"
"496","Aviation Institute of Maintenance-Orlando","Casselberry","www.aviationmaintenance.edu","> 230","NULL","Private for-profit","Certificate degree","25251.916667"
"497","Aviation Institute of Maintenance-Philadelphia","Philadelphia","www.aviationmaintenance.edu","> 230","NULL","Private for-profit","Certificate degree","22015.851204"
"498","Aviator College of Aeronautical Science and Technology","Fort Pierce","www.aviator.edu","> 230","NULL","Private for-profit","Associate degree","45586.217391"
"499","Avila University","Kansas City","https://www.Avila.edu","> 230","0.563","Private nonprofit","Graduate degree","53336.967168"
"500","AVTEC-Alaska's Institute of Technology","Seward","www.avtec.edu/","> 230","NULL","Public","Certificate degree","36850.449438"
"501","Award Beauty School","Hagerstown","www.AwardBeautySchool.com","> 230","NULL","Private for-profit","Certificate degree","20274.739946"
"502","Ayers Career College","Shreveport","www.ayers.edu","> 230","NULL","Private for-profit","Certificate degree","21397.369231"
"503","Azusa Pacific University","Azusa","www.apu.edu","205","0.6146","Private nonprofit","Graduate degree","63280.356055"
"504","Azusa Pacific University College","San Dimas","www.apu.edu/university-college/","> 230","NULL","Private nonprofit","Graduate degree","63280.356055"
"505","B-Unique Beauty and Barber Academy","Greenville","bubba-online.com","> 230","NULL","Private for-profit","Certificate degree","20081.705882"
"506","B M Spurr School of Practical Nursing","Glen Dale","www.reynoldsmemorial.com","> 230","1","Private nonprofit","Certificate degree","17109.842105"
"507","Babson College","Wellesley","www.babson.edu","> 230","0.2459","Private nonprofit","Graduate degree","119186.69565"
"508","Bacone College","Muskogee","www.bacone.edu","> 230","0.5047","Private nonprofit","Bachelor's degree","33762.645314"
"509","Bainbridge State College","Bainbridge","www.bainbridge.edu/","> 230","NULL","Public","Associate degree","24734.515957"
"510","Bais HaMedrash and Mesivta of Baltimore","Baltimore","www.bhmb.edu","> 230","0.8696","Private nonprofit","Bachelor's degree","50752.869565"
"511","Bais Medrash Elyon","Monsey","baismedrashelyon.com","> 230","NULL","Private nonprofit","Graduate degree","43308.888889"
"512","Bais Medrash Toras Chesed","Lakewood","www.bmtc.edu","> 230","0.5439","Private nonprofit","Bachelor's degree","33064.964286"
"513","Baker College","Flint","www.baker.edu","> 230","NULL","Private nonprofit","Graduate degree","33870.42198"
"514","Baker University","Baldwin City","https://www.bakeru.edu","> 230","0.7775","Private nonprofit","Graduate degree","69310.934673"
"515","Bakersfield College","Bakersfield","www.bakersfieldcollege.edu/","> 230","NULL","Public","Associate degree","21233.834154"
"516","Bakke Graduate University","Dallas","https://www.bgu.edu","> 230","NULL","Private nonprofit","Graduate degree","PrivacySuppressed"
"517","Baldwin Beauty School-North Austin","Austin","baldwinbeautyschools.com","> 230","NULL","Private for-profit","Certificate degree","32765.614634"
"518","Baldwin Beauty School-South Austin","Austin","baldwinbeautyschools.com","> 230","NULL","Private for-profit","Certificate degree","32765.614634"
"519","Baldwin Park Adult & Community Education","Baldwin Park","www.bpusd.net","> 230","NULL","Public","Certificate degree","19859.119048"
"520","Baldwin Wallace University","Berea","https://www.bw.edu","> 230","0.5973","Private nonprofit","Graduate degree","72659.48098"
"521","Ball State University","Muncie","www.bsu.edu","171","0.6225","Public","Graduate degree","73629.964949"
"522","Baltimore City Community College","Baltimore","www.bccc.edu","> 230","NULL","Public","Associate degree","16749.108176"
"523","Baltimore School of Massage-Linthicum","Linthicum","www.steinered.com","> 230","NULL","Private for-profit","Certificate degree","27367.991027"
"524","Baltimore School of Massage-York","York","www.steinered.com/","> 230","NULL","Private for-profit","Certificate degree","27367.991027"
"525","Baltimore Studio of Hair Design","Baltimore","www.baltimorestudio.com","> 230","NULL","Private for-profit","Certificate degree","11266.82243"
"526","Bancroft School of Massage Therapy","Worcester","https://www.bancroftsmt.com","> 230","0.625","Private for-profit","Certificate degree","51586.448276"
"527","Bank Street College of Education","New York","www.bankstreet.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"528","Baptist Bible College","Springfield","www.gobbc.edu","> 230","NULL","Private nonprofit","Graduate degree","59847.076555"
"529","Baptist Health College-Little Rock","Little Rock","https://www.bhclr.edu","> 230","0.7826","Private nonprofit","Certificate degree","42395.8976"
"530","Baptist Health System School of Health Professions","San Antonio","www.bshp.edu","> 230","NULL","Private for-profit","Bachelor's degree","44895.401905"
"531","Baptist Memorial College of Health Sciences","Memphis","www.bchs.edu","> 230","0.5361","Private nonprofit","Bachelor's degree","39672.602041"
"532","Baptist Missionary Association Theological Seminary","Jacksonville","www.bmats.edu","> 230","1","Private nonprofit","Graduate degree","27874.142857"
"533","Baptist Theological Seminary at Richmond","Henrico","www.btsr.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"534","Baptist University of the Americas","San Antonio","www.bua.edu","> 230","NULL","Private nonprofit","Bachelor's degree","29188.530864"
"535","Barber Institute of Texas","Longview","www.bit.edu","> 230","NULL","Private for-profit","Certificate degree","18973.984848"
"536","Barber School of Pittsburgh","Pittsburgh","bsp.edu","> 230","NULL","Private for-profit","Certificate degree","22422.557252"
"537","Barber Tech Academy","Orangeburg","www.barbertechacademy.com","> 230","NULL","Private for-profit","Certificate degree","19349.193548"
"538","Barclay College","Haviland","www.barclaycollege.edu","> 230","0.6667","Private nonprofit","Graduate degree","46093.958333"
"539","Bard College","Annandale-On-Hudson","www.bard.edu","> 230","0.5621","Private nonprofit","Graduate degree","83934.442879"
"540","Bard College at Simon's Rock","Great Barrington","www.simons-rock.edu/","> 230","0.868","Private nonprofit","Bachelor's degree","112447.71084"
"541","Barnard College","New York","www.barnard.edu","> 230","0.1674","Private nonprofit","Bachelor's degree","97285.966"
"542","Barnes-Jewish College Goldfarb School of Nursing","Saint Louis","www.barnesjewishcollege.edu/","> 230","NULL","Private nonprofit","Graduate degree","61918.089527"
"543","Barrett and Company School of Hair Design","Nicholasville","https://barrett.edu/","> 230","NULL","Private for-profit","Certificate degree","25731.555556"
"544","Barry University","Miami","www.barry.edu","> 230","0.6159","Private nonprofit","Graduate degree","41121.032638"
"545","Barstow Community College","Barstow","www.barstow.edu","> 230","NULL","Public","Associate degree","18495.632032"
"546","Barton College","Wilson","https://www.barton.edu/","> 230","0.4088","Private nonprofit","Graduate degree","52626.361983"
"547","Barton County Community College","Great Bend","www.bartonccc.edu","> 230","NULL","Public","Associate degree","38703.465323"
"548","Bastyr University","Kenmore","www.bastyr.edu","> 230","NULL","Private nonprofit","Graduate degree","39109.846154"
"549","Bates College","Lewiston","www.bates.edu/","> 230","0.2265","Private nonprofit","Bachelor's degree","123832.0301"
"550","Bates Technical College","Tacoma","www.bates.ctc.edu/","> 230","NULL","Public","Associate degree","23061.808081"
"551","Baton Rouge Community College","Baton Rouge","www.mybrcc.edu","> 230","NULL","Public","Associate degree","29929.262085"
"552","Baton Rouge General Medical Center-School of Nursing","Baton Rouge","https://www.brgeneral.org/medical-education/school-of-nursing/","> 230","NULL","Private nonprofit","Certificate degree","47856.948052"
"553","Baton Rouge School of Computers","Baton Rouge","www.brsc.edu","> 230","NULL","Private for-profit","Associate degree","22900.333333"
"554","Bay Area Medical Academy","San Francisco","www.bamasf.com/","> 230","NULL","Private for-profit","Certificate degree","25486.253589"
"555","Bay de Noc Community College","Escanaba","www.baycollege.edu/default.aspx","> 230","NULL","Public","Associate degree","34776.977415"
"556","Bay Mills Community College","Brimley","www.bmcc.edu","> 230","NULL","Public","Associate degree","23481.616162"
