"","INSTNM","CITY","INSTURL","Ranking","ADM_RATE","CONTROL","HIGHDEG","FAMINC"
"51","Access Careers","Hempstead","www.accesscareers.net","> 230","NULL","Private for-profit","Certificate degree","19552"
"52","Ace Cosmetology and Barber Training Center","Waterbury","acecosmetologybarbertraining.com","> 230","NULL","Private for-profit","Certificate degree","13406.888889"
"53","Ace Institute of Technology","New York","www.acecareer.edu","> 230","NULL","Private for-profit","Certificate degree","20541.659864"
"54","Acupuncture and Integrative Medicine College-Berkeley","Berkeley","https://www.aimc.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"55","Acupuncture and Massage College","Miami","WWW.AMCOLLEGE.edu","> 230","NULL","Private for-profit","Graduate degree","23976.776596"
"56","Adams State University","Alamosa","www.adams.edu","> 230","0.9857","Public","Graduate degree","48770.020087"
"57","Adelphi University","Garden City","www.adelphi.edu/","147","0.7029","Private nonprofit","Graduate degree","77136.406603"
"58","Adirondack Beauty School","Glens Falls","www.adirondackbeautyschool.org","> 230","NULL","Private for-profit","Certificate degree","28492.034483"
"59","Adirondack Community College","Queensbury","www.sunyacc.edu","> 230","NULL","Public","Associate degree","43795.180404"
"60","Adler Graduate School","Richfield","www.alfredadler.edu","> 230","NULL","Private nonprofit","Graduate degree","PrivacySuppressed"
"61","Adler University","Chicago","www.adler.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"62","Adrian's College of Beauty Turlock","Turlock","www.adrians.edu","> 230","NULL","Private for-profit","Certificate degree","20408.474138"
"63","Adrian College","Adrian","www.adrian.edu","> 230","0.5841","Private nonprofit","Graduate degree","78517.224121"
"64","Adult and Community Education-Hudson","Columbus","www.ccsoh.us/ACE.aspx","> 230","1","Public","Certificate degree","25062.844444"
"65","Adult and Continuing Education-BCTS","Hackensack","bcts.bergen.org/index.php/adult-ed-main-page","> 230","NULL","Public","Certificate degree","31285.231579"
"66","Advance Beauty College","Garden Grove","www.advancebeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","8113.7357414"
"67","Advance Beauty Techs Academy","San Jacinto","www.abt.edu/","> 230","NULL","Private for-profit","Certificate degree","20112.504587"
"68","Advance Science College","Hialeah","www.asimedschool.com/","> 230","NULL","Private for-profit","Certificate degree","15386.725806"
"69","Advanced Barber College and Hair Design","Weslaco","advancedbarbercollege.org/","> 230","NULL","Private for-profit","Certificate degree","13120.007605"
"70","Advanced Beauty College","Irving","www.advancedbeautycollege.net","> 230","NULL","Private for-profit","Certificate degree","19640.789474"
"71","Advanced Career Institute","Visalia","www.advanced.edu","> 230","NULL","Private for-profit","Certificate degree","17619.523179"
"72","Advanced College","South Gate","www.advancedcollege.edu","> 230","NULL","Private for-profit","Associate degree","20743.505618"
"73","Advanced College of Cosmetology","Waupun","www.accsuccess.com","> 230","NULL","Private for-profit","Certificate degree","37926.3"
"74","Advanced Computing Institute","Los Angeles","www.advancedcomputinginstitute.edu","> 230","NULL","Private for-profit","Associate degree","6376.1675393"
"75","Advanced Institute of Hair Design-Glendale","Glendale","www.vicibeautyschool.com","> 230","NULL","Private for-profit","Certificate degree","43909.80212"
"76","Advanced Technical Centers","Miami","www.advancedtechnicalcenters.com","> 230","NULL","Private nonprofit","Certificate degree","12660.5"
"77","Advanced Technology Institute","Virginia Beach","www.auto.edu","> 230","0.8833","Private for-profit","Associate degree","33108.325062"
"78","Advanced Training Associates","El Cajon","www.advancedtraining.edu","> 230","NULL","Private for-profit","Associate degree","16348.685393"
"79","Advanced Training Institute","Las Vegas","www.atitraining.com","> 230","NULL","Private for-profit","Certificate degree","27160.72242"
"80","Advanced Welding Institute","South Burlington","www.awi.edu","> 230","NULL","Private for-profit","Certificate degree","46469.961039"
"81","Advantage Technical College","Manati","www.pespr.edu","> 230","NULL","Private for-profit","Certificate degree","14047.946903"
"82","Adventist University of Health Sciences","Orlando","www.adu.edu","> 230","0.7629","Private nonprofit","Graduate degree","44113.008463"
"83","Advertising Art Educational Services DBA School of Advertising Art","Kettering","www.saa.edu","> 230","0.6549","Private for-profit","Associate degree","67906"
"84","Aesthetic Science Institute","Latham","www.aestheticscienceinstitute.edu","> 230","NULL","Private for-profit","Certificate degree","41325.032258"
"85","Aesthetics Institute of Cosmetology","Gaithersburg","www.aiclakeforest.com/","> 230","NULL","Private for-profit","Certificate degree","14160.425"
"86","Agnes Scott College","Decatur","www.agnesscott.edu","> 230","0.6469","Private nonprofit","Bachelor's degree","64883.6325"
"87","AI Miami International University of Art and Design","Miami","www.artinstitutes.edu/miami/","> 230","NULL","Private for-profit","Graduate degree","32373.511384"
"88","Aiken School of Cosmetology and Barbering","Aiken","www.aikenschoolofcosmetology.com","> 230","NULL","Private for-profit","Certificate degree","28902.4"
"89","Aiken Technical College","Graniteville","www.atc.edu","> 230","NULL","Public","Associate degree","28634.255918"
"90","Ailano School of Cosmetology","Brockton","www.theailanoschool.com","> 230","NULL","Private for-profit","Certificate degree","24576.704545"
"91","Aims Community College","Greeley","www.aims.edu","> 230","NULL","Public","Associate degree","37663.34242"
"92","Akron School of Practical Nursing","Akron","www.akronschools.com\nursing","> 230","0.6154","Public","Certificate degree","32308.211765"
"93","Alabama A & M University","Normal","www.aamu.edu/","> 230","0.8738","Public","Graduate degree","32362.826114"
"94","Alabama College of Osteopathic Medicine","Dothan","www.acomedu.org/","> 230","NULL","Private nonprofit","Non-degree-granting","NULL"
"95","Alabama School of Nail Technology & Cosmetology","Jackson","www.alabamaschoolofnailtechnology.com","> 230","0.8462","Private for-profit","Certificate degree","13069.826087"
"96","Alabama Southern Community College","Monroeville","www.coastalalabama.edu","> 230","NULL","Public","Associate degree","18334.933413"
"97","Alabama State College of Barber Styling","Gardendale","www.ascbs.edu","> 230","NULL","Private for-profit","Certificate degree","25116.95"
"98","Alabama State University","Montgomery","www.alasu.edu","> 230","0.459","Public","Graduate degree","31684.382188"
"99","Alamance Community College","Graham","www.alamancecc.edu","> 230","NULL","Public","Associate degree","24385.699182"
"100","Alamo City Barber College","San Antonio","www.alamocitybarbercollege.com","> 230","NULL","Private for-profit","Certificate degree","22463.439716"
"101","Alaska Bible College","Palmer","www.akbible.edu/","> 230","NULL","Private nonprofit","Bachelor's degree","52437.533333"
"102","Alaska Career College","Anchorage","www.alaskacareercollege.edu","> 230","NULL","Private for-profit","Associate degree","32849.291667"
"103","Alaska Christian College","Soldotna","www.alaskacc.edu","> 230","NULL","Private nonprofit","Associate degree","4251.956044"
"104","Alaska Pacific University","Anchorage","www.alaskapacific.edu","> 230","0.5506","Private nonprofit","Graduate degree","59045.794521"
"105","Albany BOCES-Adult Practical Nursing Program","Albany","www.capitalregionboces.org/CareerTech/AdultEd/apn.cfm","> 230","NULL","Public","Certificate degree","28313.130802"
"106","Albany College of Pharmacy and Health Sciences","Albany","www.acphs.edu","> 230","0.6917","Private nonprofit","Graduate degree","92607.088435"
"107","Albany Law School","Albany","www.albanylaw.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"108","Albany Medical College","Albany","www.amc.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"109","Albany State University","Albany","https://www.asurams.edu/","> 230","0.4967","Public","Graduate degree","34018.790981"
