"","INSTNM","Total","crime"
"168","Shorter College",521,0
"169","Williams Baptist College",501,0
"170","South Arkansas Community College",1481,1
"171","Southern Arkansas University Main Campus",4643,8
"172","Southern Arkansas University Tech",1010,1
"173","Velvatex College of Beauty Culture",14,0
"174","University of Arkansas-Fort Smith",6638,9
"175","Academy of Art University",11672,25
"176","Academy of Chinese Culture and Health Sciences",99,0
"177","The Academy of Radio and TV Broadcasting",14,0
"178","Avalon School of Cosmetology-Alameda",125,0
"179","College of Alameda",5760,4
"180","Allan Hancock College",11739,1
"181","American Academy of Dramatic Arts-Los Angeles",280,0
"182","American Baptist Seminary of the West",52,0
"183","American Film Institute Conservatory",341,2
"184","American Beauty College",118,0
"185","American Career College-Los Angeles",1237,1
"186","American Conservatory Theater",49,0
"187","American River College",31858,10
"188","Antelope Valley College",14125,2
"189","Art Center College of Design",2251,2
"190","Associated Technical College-Los Angeles",387,0
"191","Associated Technical College-San Diego",80,0
"192","Azusa Pacific University",9926,37
"193","Bakersfield College",23195,28
"194","Barstow Community College",3077,1
"195","Bellus Academy-National City",200,1
"196","Bethesda University",375,0
"197","Biola University",6172,14
"198","Brownson Technical School",51,0
"199","Bryan University",1249,0
"200","Butte College",11386,2
"201","Phillips Graduate University",273,0
"202","California Institute of Integral Studies",1417,0
"203","Cabrillo College",11836,14
"204","California Baptist University",9941,15
"205","California College of the Arts",1927,6
"206","University of California-Hastings College of Law",1028,3
"207","California Institute of Technology",2238,41
"208","California Lutheran University",4236,8
"209","California Polytechnic State University-San Luis Obispo",22370,39
"210","Alliant International University-San Diego",3780,3
"211","California State University-Bakersfield",10131,8
"212","California State University-Stanislaus",10327,17
"213","California State University-San Bernardino",20692,52
"214","California State Polytechnic University-Pomona",26053,59
"215","California State University-Chico",17875,37
"216","California State University-Dominguez Hills",16219,17
"217","California State University-Fresno",25325,25
"218","California State University-Fullerton",40905,26
"219","California State University-East Bay",16538,69
"220","California State University-Long Beach",37622,45
"221","California State University-Los Angeles",28531,25
"222","California State University-Northridge",41319,61
"223","California State University-Sacramento",31255,46
"224","University of California-Berkeley",41891,166
"225","University of California-Davis",37380,80
"226","University of California-Irvine",35242,60
"227","University of California-Los Angeles",44027,175
"228","University of California-Riverside",23279,70
"229","University of California-San Diego",35772,69
"230","University of California-San Francisco",3107,39
"231","University of California-Santa Barbara",25057,78
"232","University of California-Santa Cruz",19457,57
"233","Sofia University",345,0
"234","California Beauty School",98,0
"235","California Christian College",16,0
"236","California Hair Design Academy",206,0
"237","California Institute of the Arts",1498,20
"238","California State University Maritime Academy",1090,4
"239","California Western School of Law",761,1
"240","Canada College",6152,0
"241","College of the Canyons",20008,4
"242","Career Academy of Beauty",139,0
"243","Casa Loma College-Van Nuys",215,0
"244","CET-San Diego",201,0
"245","CET-San Jose",242,3
"246","CET-El Centro",222,0
"247","CET-Colton",173,0
"248","CET-Watsonville",78,1
"249","CET-Salinas",74,0
"250","Cerritos College",17218,14
"251","Cerro Coso Community College",5725,0
"252","Chabot College",13670,2
"253","Chaffey College",22508,13
"254","Chapman University",9392,13
"255","Charles R Drew University of Medicine and Science",543,1
"256","Concordia University-Irvine",4249,4
"257","San Diego Christian College",680,2
"258","Church Divinity School of the Pacific",86,1
