"","INSTNM","Total","crime"
"1440","Montgomery Beauty School",120,0
"1441","Montgomery College",22875,4
"1442","Morgan State University",7747,16
"1443","Mount St. Mary's University",2323,8
"1444","Ner Israel Rabbinical College",450,0
"1445","Hair Academy Inc-New Carrollton",447,0
"1446","Notre Dame of Maryland University",2475,0
"1447","Prince George's Community College",12113,2
"1448","Brightwood College-Baltimore",452,0
"1449","Robert Paul Academy of Cosmetology Arts & Sciences",26,0
"1450","Maryland Beauty Academy of Essex",80,0
"1451","Salisbury University",8714,15
"1452","St Mary's College of Maryland",1598,37
"1453","St. John's College",513,8
"1454","Brightwood College-Beltsville",529,0
"1455","Towson University",22705,18
"1456","Maryland University of Integrative Health",1183,0
"1457","Stevenson University",3876,19
"1458","Washington College",1484,17
"1459","McDaniel College",2819,20
"1460","Wor-Wic Community College",3109,0
"1461","Hult International Business School",2798,0
"1462","American International College",3283,4
"1463","Amherst College",1836,39
"1464","Anna Maria College",1445,9
"1465","Assabet Valley Regional Technical School",49,0
"1466","Assumption College",2481,8
"1467","Babson College",3329,16
"1468","Bancroft School of Massage Therapy",51,0
"1469","Boston Baptist College",80,0
"1470","Bay Path University",3298,1
"1471","Bay State College",717,0
"1472","Bay State School of Technology",120,0
"1473","Becker College",1892,10
"1474","Bentley University",5543,13
"1475","Berklee College of Music",6762,13
"1476","Berkshire Community College",1847,1
"1477","Empire Beauty School-Boston",160,0
"1478","Boston Architectural College",695,0
"1479","Boston Graduate School of Psychoanalysis Inc",144,1
"1480","Boston College",14628,76
"1481","Boston University",33355,70
"1482","Brandeis University",5721,14
"1483","Bridgewater State University",11019,23
"1484","Bristol Community College",7637,3
"1485","Signature Healthcare Brockton Hospital School of Nursing",258,0
"1486","Bunker Hill Community College",11881,0
"1487","Cambridge College",2261,0
"1488","Cape Cod Community College",3221,3
"1489","Catherine Hinds Institute of Esthetics",161,0
"1490","Laboure College",870,0
"1491","Clark University",3153,10
"1492","Conway School of Landscape Design",18,0
"1493","Curry College",2799,20
"1494","Lincoln Technical Institute-Somerville",272,1
"1495","Dean College",1301,23
"1496","Diman Regional Technical Institute",59,0
"1497","National Aviation Academy of New England",189,0
"1498","Eastern Nazarene College",848,8
"1499","Emerson College",4459,16
"1500","Emmanuel College",2083,4
"1501","Endicott College",4795,10
"1502","Rob Roy Academy-Fall River",33,0
"1503","Fisher College",1923,2
"1504","Fitchburg State University",7075,10
"1505","Framingham State University",5691,8
"1506","Benjamin Franklin Institute of Technology",609,0
"1507","Gordon College",1963,8
"1508","Gordon-Conwell Theological Seminary",1734,2
"1509","Greenfield Community College",1830,6
"1510","Hampshire College",1268,17
"1511","Harvard University",31120,106
"1512","Hebrew College",181,0
"1513","Hellenic College-Holy Cross Greek Orthodox School of Theology",170,0
"1514","College of the Holy Cross",2855,11
"1515","Holyoke Community College",5565,3
"1516","Lasell College",2055,9
"1517","Lawrence Memorial Hospital School of Nursing",281,0
"1518","Lesley University",4732,46
"1519","Longy School of Music of Bard College",217,1
"1520","Lowell Academy Hairstyling Institute",92,0
"1521","University of Massachusetts-Lowell",18315,8
"1522","Mansfield Beauty Schools-Springfield",21,0
"1523","Mansfield Beauty Schools-Quincy",35,0
"1524","University of Massachusetts-Amherst",30340,39
"1525","University of Massachusetts-Boston",16415,2
"1526","Massachusetts Bay Community College",4629,0
"1527","MCPHS University",7208,1
"1528","Massachusetts College of Art and Design",2064,3
"1529","Massachusetts Institute of Technology",11466,38
"1530","Massachusetts Maritime Academy",1780,0
"1531","University of Massachusetts Medical School Worcester",1095,7
"1532","William James College",748,0
"1533","Massachusetts School of Barbering",61,1
"1534","Massasoit Community College",7154,4
"1535","Merrimack College",4191,22
"1536","MGH Institute of Health Professions",1215,0
"1537","Middlesex Community College",8206,0
"1538","Montserrat College of Art",368,0
"1539","Mount Holyoke College",2334,5
"1540","Mount Wachusett Community College",3854,2
"1541","Rob Roy Academy-New Bedford",16,0
"1542","The New England Conservatory of Music",844,8
"1543","New England College of Optometry",527,0
"1544","New England Law-Boston",556,0
"1545","New England School of Photography",71,0
"1546","Newbury College",620,0
"1547","Nichols College",1634,7
"1548","Massachusetts College of Liberal Arts",1588,2
"1549","North Bennet Street School",154,0
"1550","North Shore Community College",6087,0
"1551","Northeastern University",21489,38
"1552","Northern Essex Community College",5726,2
"1553","College of Our Lady of the Elms",1580,5
"1554","Pine Manor College",450,26
"1555","Pope St John XXIII National Seminary",73,0
"1556","Quincy College",5343,0
"1557","Quinsigamond Community College",7368,4
"1558","Regis College",2166,2
"1559","Roxbury Community College",1928,0
"1560","Saint John's Seminary",178,0
"1561","Salem State University",8702,13
"1562","Salter College-West Boylston",104,0
"1563","Simmons College",6283,8
"1564","Bard College at Simon's Rock",401,9
"1565","Smith College",2918,20
"1566","Southeastern Technical Institute",129,0
"1567","Springfield College",3246,18
"1568","Springfield Technical Community College",5343,3
"1569","University of Massachusetts-Dartmouth",8406,30
"1570","Stonehill College",2498,11
"1571","Suffolk University",7201,9
"1572","Rob Roy Academy-Taunton",26,0
"1573","Tufts University",11449,31
"1574","Wellesley College",2508,7
"1575","Wentworth Institute of Technology",4457,6
"1576","Western New England University",3776,5
"1577","Westfield State University",6237,15
"1578","Wheaton College",1688,23
"1579","Williams College",2134,34
"1580","Worcester Polytechnic Institute",6642,6
"1581","Worcester State University",6434,13
"1582","Adrian College",1709,16
"1583","Albion College",1568,16
"1584","Hillsdale Beauty College",23,0
"1585","Northwestern Technological Institute",603,0
"1586","Alma College",1426,9
"1587","Alpena Community College",1611,0
"1588","Andrews University",3300,3
"1589","Aquinas College",1716,1
"1590","Baker College",12018,9
"1591","Bay de Noc Community College",1853,0
"1592","Bayshire Academy of Beauty Craft Inc",37,0
"1593","Cadillac Institute of Cosmetology",18,0
"1594","Calvin College",3840,4
"1595","Calvin Theological Seminary",341,3
"1596","Carnegie Institute",167,0
"1597","Michigan School of Professional Psychology",173,1
"1598","Central Michigan University",23257,20
"1599","Mott Community College",7689,5
"1600","Empire Beauty School-Michigan",263,0
"1601","Cleary University",647,3
"1602","Concordia University-Ann Arbor",1081,3
"1603","Cranbrook Academy of Art",141,0
"1604","College for Creative Studies",1453,2
"1605","Davenport University",7160,2
"1606","David Pressley School of Cosmetology",231,0
"1607","Delta College",8677,5
"1608","Detroit Business Institute-Downriver",44,0
"1609","Michigan State University-College of Law",856,179
"1610","MIAT College of Technology",700,0
"1611","University of Detroit Mercy",5113,1
"1612","Dorsey Business Schools-Madison Heights",358,0
"1613","Dorsey Business Schools-Southgate",109,0
"1614","Eastern Michigan University",20525,47
"1615","Creative Hair School of Cosmetology",25,0
"1616","Ferris State University",13798,14
"1617","Flint Institute of Barbering Inc",42,0
"1618","Glen Oaks Community College",1207,0
"1619","Kettering University",2311,2
"1620","Gogebic Community College",1042,2
"1621","Grace Bible College",888,0
"1622","Cornerstone University",2361,0
"1623","Grand Rapids Community College",14269,7
"1624","Grand Valley State University",25049,24
"1625","Great Lakes Christian College",129,0
"1626","Henry Ford College",12786,2
"1627","Hope College",3150,12
"1628","Jackson College",4798,3
"1629","Kalamazoo College",1436,6
"1630","Kalamazoo Valley Community College",8316,1
"1631","Kellogg Community College",4814,0
"1632","Kirtland Community College",1528,0
"1633","Michigan College of Beauty-Monroe",128,0
"1634","Lake Michigan College",3477,1
"1635","Lake Superior State University",1963,5
"1636","Lansing Community College",12882,28
"1637","Lawrence Technological University",3069,5
"1638","M J Murphy Beauty College of Mount Pleasant",38,0
"1639","Macomb Community College",21014,4
"1640","Madonna University",3086,6
"1641","Marygrove College",712,3
"1642","Rochester College",1168,3
"1643","University of Michigan-Ann Arbor",46002,65
"1644","Michigan Barber School Inc",207,0
"1645","Michigan State University",50019,179
"1646","Michigan Technological University",7292,0
"1647","University of Michigan-Dearborn",9330,11
"1648","University of Michigan-Flint",7836,6
"1649","Mid Michigan Community College",4048,0
"1650","Monroe County Community College",3109,0
"1651","Montcalm Community College",1691,0
"1652","Muskegon Community College",4311,0
"1653","Altierus Career Education-Southfield",487,0
"1654","North Central Michigan College",2527,1
"1655","Northern Michigan University",7612,24
"1656","Northwestern Michigan College",3954,0
"1657","Northwood University",3353,4
"1658","Oakland Community College",17116,2
"1659","Oakland University",19333,24
"1660","Olivet College",1224,10
"1661","Port Huron Cosmetology College",50,0
"1662","Kuyper College",184,0
"1663","Ross Medical Education Center-Lansing",117,0
"1664","Ross Medical Education Center-Madison Heights",154,0
"1665","Ross Medical Education Center-Flint",153,0
"1666","Sacred Heart Major Seminary",496,0
"1667","Saginaw Valley State University",8617,2
"1668","Schoolcraft College",10558,1
"1669","Siena Heights University",2464,6
"1670","St Clair County Community College",3601,0
"1671","Southwestern Michigan College",2330,6
"1672","Specs Howard School of Media Arts",586,1
"1673","Spring Arbor University",3342,1
"1674","Michigan Career and Technical Institute",208,2
"1675","Finlandia University",402,1
"1676","Western Michigan University-Thomas M. Cooley Law School",1279,0
"1677","Twin City Beauty College",276,0
"1678","Walsh College of Accountancy and Business Administration",2299,0
"1679","Washtenaw Community College",12335,5
"1680","Wayne County Community College District",14806,1
"1681","Wayne State University",27064,18
"1682","West Shore Community College",1120,0
"1683","Paul Mitchell the School-Grand Rapids",94,0
"1684","Western Michigan University",22869,52
"1685","Western Theological Seminary",347,0
"1686","Wright Beauty Academy",49,0
"1687","Academy College",65,0
"1688","Alexandria Technical & Community College",2794,2
"1689","American Indian OIC Inc",36,0
"1690","Anoka Technical College",1864,1
"1691","Anoka-Ramsey Community College",8954,0
"1692","Augsburg University",3562,9
"1693","Riverland Community College",3108,0
"1694","Northwest Technical College",941,0
"1695","Bemidji State University",5195,6
"1696","Bethany Lutheran College",651,4
"1697","Bethel University",3797,12
"1698","Bethel Seminary-St Paul",361,0
"1699","Central Lakes College-Brainerd",3784,3
"1700","Carleton College",2078,18
"1701","Concordia College at Moorhead",2059,6
"1702","Concordia University-Saint Paul",4817,1
"1703","Dakota County Technical College",2478,0
"1704","Martin Luther College",981,13
"1705","Lake Superior College",5059,0
"1706","Cosmetology Careers Unlimited College of Hair Skin and Nails",26,0
"1707","Minnesota State Community and Technical College",6422,3
"1708","Minnesota West Community and Technical College",3162,0
"1709","Gustavus Adolphus College",2181,17
"1710","Hamline University",3734,18
"1711","Hazelden Betty Ford Graduate School of Addiction Studies",177,1
"1712","Hennepin Technical College",5078,1
"1713","Hibbing Community College",1208,1
"1714","Aveda Institute-Minneapolis",443,3
"1715","Inver Hills Community College",4479,0
"1716","Itasca Community College",1211,0
"1717","Luther Seminary",459,0
"1718","Macalester College",2136,25
"1719","South Central College",2787,0
"1720","Minnesota State University-Mankato",14712,15
"1721","Mayo Clinic School of Medicine",264,2
"1722","Mayo Clinic School of Health Sciences",451,2
"1723","Argosy University-Twin Cities",1346,0
"1724","Mesabi Range College",1248,3
"1725","Metropolitan State University",8148,0
"1726","University of Minnesota-Twin Cities",51848,101
"1727","University of Minnesota-Crookston",2834,2
"1728","Minneapolis Business College",177,0
"1729","Minneapolis College of Art and Design",774,0
"1730","Minneapolis Community and Technical College",7486,15
"1731","Herzing University-Minneapolis",375,0
"1732","Minnesota School of Cosmetology-Woodbury Campus",138,0
"1733","University of Minnesota-Duluth",11168,22
"1734","University of Minnesota-Morris",1627,7
"1735","Model College of Hair Design",82,0
"1736","Minnesota State University Moorhead",6005,6
"1737","North Hennepin Community College",6550,1
"1738","National American University-Roseville",99,0
"1739","Normandale Community College",9844,0
"1740","North Central University",1109,15
"1741","Northland Community and Technical College",3416,1
"1742","University of Northwestern-St Paul",3521,4
"1743","Northwestern Health Sciences University",826,0
"1744","Oak Hills Christian College",103,0
"1745","Pine Technical & Community College",1969,1
"1746","Rainy River Community College",269,0
"1747","Rochester Community and Technical College",5115,3
"1748","College of Saint Benedict",1937,50
"1749","St Cloud Technical and Community College",4218,0
"1750","Saint Cloud State University",14975,32
"1751","Saint Johns University",1815,20
"1752","Saint Mary's University of Minnesota",5754,1
"1753","St Olaf College",3035,36
"1754","Crown College",1353,1
"1755","The College of Saint Scholastica",4276,24
"1756","University of St Thomas",9878,22
"1757","Empire Beauty School-Bloomington",121,0
"1758","St Catherine University",4724,7
"1759","Rasmussen College-Minnesota",4509,0
"1760","Saint Paul College",6940,2
"1761","Southwest Minnesota State University",7154,4
"1762","Summit Academy Opportunities Industrialization Center",371,0
"1763","United Theological Seminary of the Twin Cities",83,0
"1764","Vermilion Community College",724,1
"1765","Dunwoody College of Technology",1301,3
"1766","Ridgewater College",3366,0
"1767","Minnesota State College Southeast",1920,1
"1768","Winona State University",7981,9
"1769","Mitchell Hamline School of Law",1095,1
"1770","Century College",8745,7
"1771","Alcorn State University",3716,10
"1772","Belhaven University",4458,4
"1773","Blue Mountain College",601,0
"1774","Chris Beauty College",91,0
"1775","Coahoma Community College",1954,3
"1776","Antonelli College-Jackson",270,0
"1777","Copiah-Lincoln Community College",3075,3
"1778","Delta Beauty College",14,0
"1779","Delta State University",3785,1
"1780","East Central Community College",2560,4
"1781","East Mississippi Community College",3908,0
"1782","Fosters Cosmetology College",42,0
"1783","Academy of Hair Design-Grenada",29,0
"1784","Hinds Community College",12061,14
"1785","Holmes Community College",5789,2
"1786","Itawamba Community College",5019,2
"1787","Jackson State University",8558,37
"1788","Jones County Junior College",4517,0
"1789","Meridian Community College",3555,3
"1790","Millsaps College",859,18
"1791","Mississippi Delta Community College",2320,13
"1792","University of Mississippi",23136,40
"1793","Mississippi University for Women",2789,3
"1794","Mississippi Valley State University",2385,12
"1795","Mississippi College",5036,4
"1796","Mississippi College of Beauty Culture",48,0
"1797","Mississippi Gulf Coast Community College",8888,12
"1798","Mississippi State University",21883,44
"1799","Northeast Mississippi Community College",3501,3
"1800","Northwest Mississippi Community College",7654,1
"1801","Pearl River Community College",4829,6
"1802","Rust College",860,7
"1803","Southeastern Baptist College",38,0
"1804","Southwest Mississippi Community College",1959,3
"1805","University of Southern Mississippi",14478,16
"1806","Magnolia College of Cosmetology",139,0
"1807","Tougaloo College",809,17
"1808","Wesley Biblical Seminary",76,0
"1809","William Carey University",4839,7
"1810","Aquinas Institute of Theology",132,0
"1811","Avila University",1703,7
"1812","Baptist Bible College",297,1
"1813","House of Heavilin Beauty College-Blue Springs",111,0
"1814","Cox College",904,34
"1815","Calvary University",267,1
"1816","Cape Girardeau Career and Technology Center",248,0
"1817","Central Christian College of the Bible",239,0
"1818","Central Methodist University-College of Liberal Arts and Sciences",1060,3
"1819","University of Central Missouri",12333,16
"1820","Grand River Technical School",71,0
"1821","Cleveland University-Kansas City",492,0
"1822","Columbia Area Career Center",57,0
"1823","Columbia College",13492,2
"1824","Conception Seminary College",75,0
"1825","Concordia Seminary",532,0
"1826","Cottey College",270,0
"1827","Covenant Theological Seminary",517,0
"1828","Crowder College",4960,2
"1829","Culver-Stockton College",1134,4
"1830","Drury University",3512,13
"1831","East Central College",2897,0
"1832","Eden Theological Seminary",136,2
"1833","Elaine Steven Beauty College",122,0
"1834","Pinnacle Career Institute-South Kansas City",248,1
"1835","Evangel University",2112,14
"1836","Fontbonne University",1375,1
"1837","Four Rivers Career Center",33,0
"1838","Ozarks Technical Community College",12692,6
"1839","Hannibal-LaGrange University",974,0
"1840","Harris-Stowe State University",1442,11
"1841","House of Heavilin Beauty College-Kansas City",27,0
"1842","Independence College of Cosmetology",65,0
"1843","Jefferson College",4439,5
"1844","Paul Mitchell the School-Missouri Columbia",79,0
"1845","Barnes-Jewish College Goldfarb School of Nursing",633,1
"1846","Kansas City Art Institute",663,1
"1847","Kenrick Glennon Seminary",130,0
"1848","A T Still University of Health Sciences",3723,1
"1849","Lake Career and Technical Center",15,0
"1850","Lex La-Ray Technical Center",31,0
"1851","Lincoln University",2619,44
"1852","Lindenwood University",10025,35
"1853","State Technical College of Missouri",1256,0
"1854","Logan University",1371,0
"1855","Metropolitan Community College-Kansas City",14874,2
"1856","Lutheran School of Nursing",212,0
"1857","Maryville University of Saint Louis",7689,13
"1858","Merrell University of Beauty Arts and Science",55,0
"1859","Metro Business College-Cape Girardeau",61,0
"1860","Midwest Institute",270,0
"1861","Midwestern Baptist Theological Seminary",2239,2
"1862","Mineral Area College",3700,3
"1863","Missouri Baptist University",5488,3
"1864","Missouri Southern State University",6174,25
"1865","Missouri Valley College",1820,23
"1866","Missouri Western State University",5533,6
"1867","University of Missouri-Columbia",30844,41
"1868","University of Missouri-Kansas City",16372,29
"1869","Missouri University of Science and Technology",8883,9
"1870","University of Missouri-St Louis",16715,9
"1871","Moberly Area Community College",4898,3
"1872","Hillyard Technical Center",106,0
"1873","Nazarene Theological Seminary",210,0
"1874","Neosho Beauty College",43,0
"1875","Truman State University",6272,11
"1876","Northwest Missouri State University",6338,10
"1877","Ozark Christian College",587,0
"1878","College of the Ozarks",1508,4
"1879","Park University",11457,1
"1880","Stevens-The Institute of Business & Arts",121,0
"1881","Poplar Bluff Technical Career Center",21,1
"1882","Ranken Technical College",1644,3
"1883","Research College of Nursing",306,6
"1884","Rockhurst University",3043,6
"1885","Rolla Technical Institute/Center",113,1
"1886","Saint Louis University",14581,67
"1887","Salem College of Hairstyling",45,0
"1888","American College of Hair Design Inc",13,0
"1889","Sikeston Career and Technology Center",43,0
"1890","Saint Louis Christian College",82,1
"1891","St. Louis College of Pharmacy",1309,2
"1892","Saint Louis Community College",18835,1
"1893","Saint Paul School of Theology",116,8
"1894","Southwest Baptist University",3592,8
"1895","Missouri State University-West Plains",1918,0
"1896","Saint Luke's College of Health Sciences",554,4
"1897","St Louis College of Health Careers-St Louis",258,0
"1898","State Fair Community College",4742,0
"1899","Stephens College",862,7
"1900","Southeast Missouri State University",11486,53
"1901","Missouri State University-Springfield",23697,46
"1902","Three Rivers College",3226,2
"1903","North Central Missouri College",1832,2
"1904","Kansas City University of Medicine and Biosciences",1190,0
"1905","Washington University in St Louis",15303,51
"1906","Webster University",12736,15
"1907","Westminster College",767,21
"1908","William Jewell College",933,13
"1909","William Woods University",2284,2
"1910","Academy of Cosmetology",31,0
"1911","Blackfeet Community College",375,1
"1912","Butte Academy of Beauty Culture",37,0
"1913","Highlands College of Montana Tech",769,0
"1914","Crevier's Academy of Cosmetology Arts",69,0
"1915","Carroll College",1362,1
"1916","Dawson Community College",329,2
"1917","Chief Dull Knife College",186,1
"1918","Montana State University-Billings",4401,7
"1919","Flathead Valley Community College",2307,3
"1920","Aaniiih Nakoda College",122,0
"1921","Fort Peck Community College",358,0
"1922","Great Falls College Montana State University",1691,0
"1923","University of Providence",1066,0
"1924","Helena College University of Montana",1422,0
"1925","Little Big Horn College",243,0
"1926","Miles Community College",459,1
"1927","Montana Tech of the University of Montana",1909,0
"1928","Montana State University",16613,18
"1929","The University of Montana",11865,21
"1930","Montana State University-Northern",1236,1
"1931","Rocky Mountain College",991,1
"1932","Salish Kootenai College",809,0
"1933","The University of Montana-Western",1538,3
"1934","La'James International College",17,0
"1935","Bellevue University",8655,5
"1936","Clarkson College",1273,0
"1937","Bryan College of Health Sciences",679,0
"1938","Central Community College",6082,3
"1939","Chadron State College",2737,10
"1940","College of Hair Design-Downtown",88,0
"1941","Concordia University-Nebraska",2520,5
"1942","Creighton University",8654,13
"1943","Doane University-Arts & Sciences",1069,0
"1944","Hastings College",1202,5
"1945","CHI Health School of Radiologic Technology",15,1
"1946","Joseph's College Cosmetology",202,0
"1947","University of Nebraska at Kearney",6644,5
"1948","Kaplan University-Lincoln Campus",296,0
"1949","Nebraska Methodist College of Nursing & Allied Health",1167,0
"1950","Metropolitan Community College Area",14954,7
"1951","Mid-Plains Community College",2221,0
"1952","Midland University",1793,3
"1953","Nebraska Christian College of Hope International University",146,0
"1954","University of Nebraska at Omaha",15731,15
"1955","Kaplan University-Omaha Campus",458,0
"1956","Nebraska Indian Community College",180,0
"1957","University of Nebraska Medical Center",3908,16
"1958","Nebraska Wesleyan University",2064,13
"1959","University of Nebraska-Lincoln",26079,241
"1960","Northeast Community College",5086,1
"1961","Peru State College",2349,9
"1962","Summit Christian College",30,0
"1963","College of Saint Mary",1140,2
"1964","Southeast Community College Area",9412,0
"1965","Union College",868,12
"1966","Nebraska College of Technical Agriculture",317,0
"1967","Wayne State College",3292,5
"1968","Western Nebraska Community College",1905,0
"1969","York College",462,6
"1970","Academy of Hair Design-Las Vegas",239,1
"1971","Career College of Northern Nevada",401,0
"1972","College of Southern Nevada",33914,6
"1973","The Art Institute of Las Vegas",683,0
"1974","Altierus Career College-Henderson",272,0
"1975","University of Nevada-Las Vegas",30471,83
"1976","University of Nevada-Reno",21657,39
"1977","Great Basin College",3244,6
"1978","Sierra Nevada College",965,2
"1979","Truckee Meadows Community College",10720,5
"1980","Western Nevada College",3642,0
"1981","Colby-Sawyer College",995,5
"1982","Continental Academie of Hair Design-Hudson",32,0
"1983","Dartmouth College",6509,52
"1984","Empire Beauty School-Laconia",71,0
"1985","Empire Beauty School-Somersworth",122,0
"1986","Franklin Pierce University",2303,18
"1987","University of New Hampshire-School of Law",256,0
"1988","Keene Beauty Academy",38,0
"1989","Northeast Catholic College",71,2
"1990","Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School",127,0
"1991","New England College",2832,13
"1992","New England School of Hair Design",29,0
"1993","Southern New Hampshire University",90955,16
"1994","New Hampshire Institute for Therapeutic Arts",20,0
"1995","University of New Hampshire-Main Campus",15363,62
"1996","Keene State College",3866,23
"1997","University of New Hampshire at Manchester",758,0
"1998","Plymouth State University",5046,5
"1999","NHTI-Concord's Community College",3666,5
"2000","White Mountains Community College",698,0
"2001","River Valley Community College",859,0
"2002","Lakes Region Community College",827,3
"2003","Manchester Community College",2766,0
"2004","Nashua Community College",1791,0
"2005","Great Bay Community College",1846,0
"2006","Paul Mitchell the School-Portsmouth",34,0
"2007","Rivier University",2431,4
"2008","Saint Anselm College",1964,16
"2009","St Joseph School of Nursing",123,0
"2010","Granite State College",2019,0
"2011","Thomas More College of Liberal Arts",90,1
"2012","Eastwick College-Hackensack",399,0
"2013","Atlantic Cape Community College",5528,3
"2014","Fortis Institute-Wayne",599,0
"2015","Bergen Community College",14062,6
"2016","Berkeley College-Woodland Park",3477,2
"2017","Beth Medrash Govoha",6479,2
"2018","Bloomfield College",1842,18
"2019","Brookdale Community College",12790,1
"2020","Rowan College at Burlington County",8951,0
"2021","Caldwell University",2206,3
"2022","Camden County College",10492,1
"2023","Centenary University",1990,2
"2024","Adult and Continuing Education-BCTS",78,0
"2025","Branford Hall Career Institute-Parsippany",44,0
"2026","Lincoln Technical Institute-Iselin",380,0
"2027","American Institute-Clifton",652,0
"2028","County College of Morris",7949,0
"2029","Cumberland County College",3125,1
"2030","Divers Academy International",54,0
"2031","Drew University",2117,10
"2032","Lincoln Technical Institute-South Plainfield",308,0
"2033","Essex County College",8997,0
"2034","Empire Beauty School-Union",121,0
"2035","Fairleigh Dickinson University-Metropolitan Campus",7846,1
"2036","Felician University",1996,0
"2037","Fairleigh Dickinson University-Florham Campus",3512,7
"2038","Hohokus School of Trade and Technical Sciences",190,4
"2039","Georgian Court University",2390,11
"2040","Rowan University",18484,40
"2041","Rowan College at Gloucester County",7158,2
"2042","Empire Beauty School-Cherry Hill",91,0
"2043","Harris School of Business-Cherry Hill Campus",236,0
"2044","Eastwick College-Ramsey",772,0
"2045","Holy Name Medical Center School of Nursing",159,0
"2046","Hudson County Community College",8864,2
"2047","New Jersey City University",8283,5
"2048","Joe Kubert School of Cartoon and Graphic Art",96,0
"2049","Kean University",14226,25
"2050","Harris School of Business-Voorhees Campus",312,1
"2051","Lincoln Technical Institute-Union",1224,0
"2052","Rizzieri Aveda School for Beauty and Wellness",286,0
"2053","Mercer County Community College",7630,6
"2054","Middlesex County College",11381,1
"2055","Monmouth University",6340,11
"2056","Montclair State University",21013,22
"2057","JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing",383,0
"2058","Eastwick College-Nutley",486,0
"2059","New Brunswick Theological Seminary",148,2
"2060","Robert Fiance Beauty Schools-West New York",375,0
"2061","New Jersey Institute of Technology",11446,7
"2062","Ocean County College",8377,0
"2063","P B Cosmetology Education Center",166,0
"2064","Parisian Beauty School",413,0
"2065","Passaic County Community College",6975,0
"2066","Pennco Tech-Blackwood",652,0
"2067","Princeton Theological Seminary",502,0
"2068","Princeton University",8273,49
"2069","Rabbinical College of America",227,0
"2070","Ramapo College of New Jersey",6120,18
"2071","Robert Fiance Beauty Schools-Perth Amboy",164,0
"2072","Rider University",5073,25
"2073","Roman Academy of Beauty Culture",98,0
"2074","Rutgers University-Camden",6853,8
"2075","Rutgers University-New Brunswick",49577,63
"2076","Rutgers University-Newark",12768,34
"2077","St Francis Medical Center-School of Radiologic Technology",15,0
"2078","Saint Francis Medical Center School of Nursing",68,0
"2079","Saint Peter's University",3524,3
"2080","Salem Community College",916,0
"2081","Seton Hall University",9801,15
"2082","Atlantic Beauty & Spa Academy LLC",128,0
"2083","College of Saint Elizabeth",1141,1
"2084","Raritan Valley Community College",8079,10
"2085","Stevens Institute of Technology",6916,11
"2086","Stockton University",9216,7
"2087","Talmudical Academy-New Jersey",60,0
"2088","Teterboro School of Aeronautics",254,0
"2089","Thomas Edison State University",11945,0
"2090","The College of New Jersey",7552,24
"2091","Union County College",9711,1
"2092","William Paterson University of New Jersey",10252,18
"2093","Olympian Academy of Cosmetology",842,0
"2094","Central New Mexico Community College",24442,43
"2095","Navajo Technical University",1772,0
"2096","New Mexico State University-Dona Ana",7917,35
"2097","Clovis Community College",3114,0
"2098","Eastern New Mexico University-Main Campus",6023,8
"2099","Eastern New Mexico University-Roswell Campus",2686,7
"2100","Institute of American Indian and Alaska Native Culture and Arts Development",659,0
"2101","New Mexico Highlands University",3098,5
"2102","New Mexico Junior College",2310,1
"2103","New Mexico Military Institute",419,3
"2104","University of New Mexico-Gallup Campus",2194,0
"2105","New Mexico Institute of Mining and Technology",2009,3
"2106","University of New Mexico-Los Alamos Campus",918,1
"2107","University of New Mexico-Main Campus",26221,306
"2108","New Mexico State University-Alamogordo",1710,0
"2109","New Mexico State University-Carlsbad",1952,1
"2110","New Mexico State University-Grants",963,1
"2111","New Mexico State University-Main Campus",14432,38
"2112","University of New Mexico-Valencia County Campus",2097,2
"2113","Northern New Mexico College",948,2
"2114","San Juan College",7030,3
"2115","Santa Fe Community College",4581,1
"2116","University of the Southwest",1026,4
"2117","Southwestern College",178,16
"2118","Southwestern Indian Polytechnic Institute",366,2
"2119","University of New Mexico-Taos Campus",1360,0
"2120","Mesalands Community College",1005,0
"2121","Vogue College of Cosmetology-Santa Fe",61,0
"2122","Western New Mexico University",3088,8
"2123","Vaughn College of Aeronautics and Technology",1502,0
"2124","Adelphi University",7978,24
"2125","Adirondack Community College",3892,3
"2126","Bryant & Stratton College-Albany",371,0
"2127","Albany College of Pharmacy and Health Sciences",1384,3
"2128","Albany Law School",435,0
"2129","Albany Medical College",840,11
"2130","Alfred University",2354,7
"2131","Allen School-Brooklyn",67,0
"2132","The Ailey School",113,0
"2133","American Academy of Dramatic Arts-New York",269,0
"2134","American Academy McAllister Institute of Funeral Service",480,0
"2135","Joffrey Ballet School",167,0
"2136","American Musical and Dramatic Academy",1515,5
"2137","Apex Technical School",1094,0
"2138","Arnot Ogden Medical Center",68,0
"2139","Associated Beth Rivkah Schools",144,0
"2140","Bank Street College of Education",704,0
"2141","Bard College",2293,41
"2142","Barnard College",2544,4
"2143","Berk Trade and Business School",220,0
"2144","Berkeley College-New York",3635,5
"2145","Beth Hatalmud Rabbinical College",11,0
"2146","Beth Hamedrash Shaarei Yosher Institute",54,0
"2147","Phillips School of Nursing at Mount Sinai Beth Israel",178,0
"2148","Brittany Beauty Academy",81,0
"2149","Boricua College",883,0
"2150","Briarcliffe College",108,0
"2151","Brittany Beauty Academy",164,0
"2152","American Beauty School",167,0
