"College","Admission.Rate","ACT.score","SAT.score","Female.Proportion","Married","Tuition.Fee.in.state","Tuition.Fee.out.state","Website","Region","State","City","City.size","Control","Highest.Degree","Rank","Unemployment.Rate","Mean.Earnings.Students","Mean.Earnings.Female.Students","Mean.Earnings.Male.Students","Share.of.Students.Earning.over..25.000.year","Crime"
"A T Still University of Health Sciences","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","WWW.ATSU.EDU","Plains","MO","Kirksville","Town","Private nonprofit","Graduate degree","Rank over 230",1.58,"213500","174500","234600","0.966",1
"Aaniiih Nakoda College","NULL","NULL","NULL","0.5054945055","PrivacySuppressed","2410","2410","www.ancollege.edu","Rocky Mountains","MT","Harlem","Rural","Public","Associate degree","Rank over 230",0.12,"22400","PrivacySuppressed","PrivacySuppressed","0.405",0
"Aaron's Academy of Beauty","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.aaronsacademyofbeauty.com","Mid East","MD","Waldorf","Suburb","Private for profit","Certificate degree","Rank over 230",0.84,"20800","PrivacySuppressed","PrivacySuppressed","0.29",NA
"ABCO Technology","NULL","NULL","NULL","0.2244897959","PrivacySuppressed","NULL","NULL","www.abcotechnology.edu","Far West","CA","Inglewood","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Abcott Institute","NULL","NULL","NULL","0.928030303","0.0757575758","NULL","NULL","www.abcott.edu","Great Lakes","MI","Southfield","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Abdill Career College Inc","NULL","NULL","NULL","0.8870967742","0.2741935484","NULL","NULL","www.abdill.com","Far West","OR","Medford","City","Private for profit","Certificate degree","Rank over 230",2.95,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Abilene Christian University","0.5089","24","1077","0.6118200134","0.0127602418","32070","32070","www.acu.edu","Southwest","TX","Abilene","City","Private nonprofit","Graduate degree","Rank over 230",1.52,"48900","41900","56000","0.761",14
"Abington Memorial Hospital Dixon School of Nursing","NULL","NULL","NULL","0.8243243243","0.2837837838","NULL","NULL","www.amhdixonson.org","Mid East","PA","Willow Grove","Suburb","Private nonprofit","Certificate degree","Rank over 230",1.29,"68000","PrivacySuppressed","PrivacySuppressed","0.931",NA
"Abraham Baldwin Agricultural College","0.6561","20","932","0.5739705135","0.0630401627","3453","10060","www.abac.edu","Southeast","GA","Tifton","Town","Public","Bachelor's degree","Rank over 230",1.78,"36300","30900","42900","0.629",0
"Abraham Lincoln University","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.alu.edu/","Far West","CA","Los Angeles","City","Private for profit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academia Serrant Inc","NULL","NULL","NULL","0.5263975155","0.1055900621","NULL","NULL","www.serrant.edu","Outlying Areas","PR","Ponce","City","Private for profit","Certificate degree","Rank over 230",0.07,"18700","15600","21700","0.188",0
"Academy College","NULL","NULL","NULL","0.298245614","PrivacySuppressed","17409","17409","www.academycollege.edu","Plains","MN","Bloomington","City","Private for profit","Bachelor's degree","Rank over 230",1.24,"37900","30000","42500","0.673",0
