"College","Admission.Rate","ACT.score","SAT.score","Female.Proportion","Married","Tuition.Fee.in.state","Tuition.Fee.out.state","Website","Region","State","City","City.size","Control","Highest.Degree","Rank","Unemployment.Rate","Mean.Earnings.Students","Mean.Earnings.Female.Students","Mean.Earnings.Male.Students","Share.of.Students.Earning.over..25.000.year","Crime"
"Academy Di Capelli-School of Cosmetology","NULL","NULL","NULL","0.6506024096","0.1204819277","NULL","NULL","www.academydicapelli.com","New England","CT","Wallingford","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy di Firenze","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.academydifirenze.com","Rocky Mountains","ID","Jerome","Town","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy for Careers and Technology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.mcact.org","Southeast","SC","Mullins","Rural","Public","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy for Five Element Acupuncture","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.acupuncturist.edu","Southeast","FL","Gainesville","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy for Jewish Religion-California","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.ajrca.edu","Far West","CA","Los Angeles","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy for Nursing and Health Occupations","NULL","NULL","NULL","0.9038461538","0.206043956","NULL","NULL","www.ANHO.edu","Southeast","FL","West Palm Beach","Suburb","Private nonprofit","Associate degree","Rank over 230",1.72,"39200","PrivacySuppressed","PrivacySuppressed","0.635",1
"Academy for Salon Professionals","NULL","NULL","NULL","PrivacySuppressed","0.1343283582","NULL","NULL","www.academyla.com/","Far West","CA","Northridge","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy for Salon Professionals","NULL","NULL","NULL","PrivacySuppressed","0.1704545455","NULL","NULL","www.southbayacademyforsalonpros.com/","Far West","CA","Santa Clara","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy of Art University","NULL","NULL","NULL","0.5731981982","0.1452702703","21252","21252","www.academyart.edu","Far West","CA","San Francisco","City","Private for profit","Graduate degree","Rank over 230",1.51,"47300","42700","51700","0.666",25
"Academy of Career Training","NULL","NULL","NULL","0.6276595745","0.2074468085","NULL","NULL","academyofcareertraining.com","Southeast","FL","Kissimmee","City","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Careers and Technology","NULL","NULL","NULL","0.6971830986","0.2183098592","NULL","NULL","www.wvact.net","Southeast","WV","Beckley","City","Public","Certificate degree","Rank over 230",2.52,"32400","27900","39600","0.526",0
"Academy of Chinese Culture and Health Sciences","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.acchs.edu","Far West","CA","Oakland","City","Private nonprofit","Graduate degree","Rank over 230",NA,"NULL","NULL","NULL","NULL",0
"Academy of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.academycosmetology.com","Rocky Mountains","MT","Bozeman","Town","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Cosmetology","NULL","NULL","NULL","0.9032258065","0.2204301075","NULL","NULL","FLORIDACOSMETOLOGYSCHOOLS.COM","Southeast","FL","Merritt Island","Suburb","Private for profit","Certificate degree","Rank over 230",1.2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.179",0
"Academy of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.academycosmetology.com","Rocky Mountains","MT","Bozeman","Town","Private for profit","Certificate degree","Rank over 230",1.94,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.cosmetologycareer.net/","Great Lakes","WI","Janesville","City","Private for profit","Certificate degree","Rank over 230",1.2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.179",0
"Academy of Cosmetology","NULL","NULL","NULL","0.9032258065","0.2204301075","NULL","NULL","FLORIDACOSMETOLOGYSCHOOLS.COM","Southeast","FL","Merritt Island","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Cosmetology","NULL","NULL","NULL","0.9032258065","0.2204301075","NULL","NULL","FLORIDACOSMETOLOGYSCHOOLS.COM","Southeast","FL","Merritt Island","Suburb","Private for profit","Certificate degree","Rank over 230",1.94,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.cosmetologycareer.net/","Great Lakes","WI","Janesville","City","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.academycosmetology.com","Rocky Mountains","MT","Bozeman","Town","Private for profit","Certificate degree","Rank over 230",1.2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.179",0
"Academy of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.cosmetologycareer.net/","Great Lakes","WI","Janesville","City","Private for profit","Certificate degree","Rank over 230",1.94,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Cosmetology and Esthetics","NULL","NULL","NULL","PrivacySuppressed","0.3243243243","NULL","NULL","acosmetology.com","Plains","MO","Nevada","Town","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy of Cosmetology and Esthetics NYC","NULL","NULL","NULL","PrivacySuppressed","0.0986842105","NULL","NULL","www.theacademynyc.com","Mid East","NY","Staten Island","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy of Esthetics and Cosmetology","NULL","NULL","NULL","0.6590909091","PrivacySuppressed","NULL","NULL","www.aecosmetology.com","Far West","CA","San Fernando","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",0
"Academy of Hair Design-Beaumont","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","academyhairdesign.net","Southwest","TX","Beaumont","City","Private for profit","Certificate degree","Rank over 230",2.52,"23300","PrivacySuppressed","PrivacySuppressed","0.315",0
"Academy of Hair Design-Grenada","NULL","NULL","NULL","0.593220339","0.1016949153","NULL","NULL","www.academyofhair.com/grenada-campus","Southeast","MS","Grenada","Rural","Private for profit","Certificate degree","Rank over 230",3.11,"18900","PrivacySuppressed","PrivacySuppressed","0.276",0
"Academy of Hair Design-Jackson","NULL","NULL","NULL","0.593220339","0.1016949153","NULL","NULL","www.academyofhair.com","Southeast","MS","Jackson","City","Private for profit","Certificate degree","Rank over 230",3.11,"18900","PrivacySuppressed","PrivacySuppressed","0.276",0
"Academy of Hair Design-Jasper","NULL","NULL","NULL","0.9257142857","0.2342857143","NULL","NULL","lufkinhairdesign.com","Southwest","TX","Jasper","Town","Private for profit","Certificate degree","Rank over 230",1.83,"17700","PrivacySuppressed","PrivacySuppressed","0.235",0
"Academy of Hair Design-Las Vegas","NULL","NULL","NULL","0.9162162162","0.1918918919","NULL","NULL","www.ahdvegas.com/","Far West","NV","Las Vegas","City","Private for profit","Certificate degree","Rank over 230",2.11,"23200","PrivacySuppressed","PrivacySuppressed","0.287",1
"Academy of Hair Design-Lufkin","NULL","NULL","NULL","0.9257142857","0.2342857143","NULL","NULL","lufkinhairdesign.com","Southwest","TX","Lufkin","Town","Private for profit","Certificate degree","Rank over 230",1.83,"17700","PrivacySuppressed","PrivacySuppressed","0.235",0
"Academy of Hair Design-Oklahoma City","NULL","NULL","NULL","PrivacySuppressed","0.1919191919","NULL","NULL","www.academyofhairdesignok.com","Southwest","OK","Oklahoma City","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy of Hair Design-Pearl","NULL","NULL","NULL","PrivacySuppressed","0.1639344262","NULL","NULL","www.academyofhair.com","Southeast","MS","Pearl","Suburb","Private for profit","Certificate degree","Rank over 230",1.45,"22400","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Hair Design-Salem","NULL","NULL","NULL","0.6734693878","PrivacySuppressed","NULL","NULL","academyofhairdesign.info","Far West","OR","Salem","City","Private for profit","Certificate degree","Rank over 230",2.98,"17700","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA
"Academy of Hair Design-Springfield","NULL","NULL","NULL","0.6","0.2237288136","NULL","NULL","aohd.com/","Plains","MO","Springfield","City","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Hair Technology","NULL","NULL","NULL","PrivacySuppressed","0.2522522523","NULL","NULL","www.hairchamps.com","Southeast","SC","Greenville","Suburb","Private for profit","Certificate degree","Rank over 230",1.2,"19600","PrivacySuppressed","PrivacySuppressed","0.243",0
"Academy of Interactive Entertainment","0.7264","NULL","NULL","0.3465346535","PrivacySuppressed","17500","17500","www.theaie.us","Far West","WA","Seattle","City","Private nonprofit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy of Interactive Entertainment","0.7128","NULL","NULL","0.2023809524","PrivacySuppressed","17500","17500","www.theaie.us/","Southeast","LA","Lafayette","City","Private nonprofit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy of Massage and Bodywork","NULL","NULL","NULL","0.8692307692","0.1615384615","NULL","NULL","www.massage-academy.com","Mid East","DE","Bear","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Natural Therapy Inc","NULL","NULL","NULL","0.8169014085","0.2253521127","NULL","NULL","www.natural-therapy.com","Rocky Mountains","CO","Greeley","City","Private for profit","Associate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Professional Cosmetology","NULL","NULL","NULL","PrivacySuppressed","0.2777777778","NULL","NULL","www.apcschools.com","Southeast","AR","Rogers","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy of Salon and Spa","NULL","NULL","NULL","PrivacySuppressed","0.2820512821","NULL","NULL","www.academysalonspa.com","Southeast","AR","Fort Smith","City","Private for profit","Certificate degree","Rank over 230",1.71,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Academy of Salon Professionals","NULL","NULL","NULL","0.8285714286","0.2714285714","NULL","NULL","www.academyofsalonprofessionals.com/","Plains","MO","Sedalia","Town","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Academy of Vocal Arts","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.avaopera.org","Mid East","PA","Philadelphia","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Acaydia School of Aesthetics","NULL","NULL","NULL","PrivacySuppressed","0.4426229508","NULL","NULL","www.acaydia.com","Rocky Mountains","UT","Provo","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Access Careers","NULL","NULL","NULL","PrivacySuppressed","0.1333333333","NULL","NULL","www.accesscareers.net","Mid East","NY","Hempstead","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Ace Cosmetology and Barber Training Center","NULL","NULL","NULL","0.3174603175","PrivacySuppressed","NULL","NULL","acecosmetologybarbertraining.com","New England","CT","Waterbury","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",1
"Ace Institute of Technology","NULL","NULL","NULL","0.5272108844","0.1632653061","NULL","NULL","www.acecareer.edu","Mid East","NY","New York","City","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",0
"Acupuncture and Integrative Medicine College-Berkeley","NULL","NULL","NULL","NULL","NULL","NULL","NULL","https://www.aimc.edu","Far West","CA","Berkeley","City","Private nonprofit","Graduate degree","Rank over 230",NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Acupuncture and Massage College","NULL","NULL","NULL","0.6063829787","0.1914893617","10765","10765","WWW.AMCOLLEGE.edu","Southeast","FL","Miami","City","Private for profit","Graduate degree","Rank over 230",2.23,"32100","PrivacySuppressed","PrivacySuppressed","0.465",0
"Adams State University","0.9857","20","933","0.4890829694","0.0733624454","9153","20169","www.adams.edu","Rocky Mountains","CO","Alamosa","Town","Public","Graduate degree","Rank over 230",1.99,"38100","32200","45000","0.703",6
"Adelphi University","0.7029","25","1114","0.7211120765","0.0421372719","35740","35740","www.adelphi.edu/","Mid East","NY","Garden City","Suburb","Private nonprofit","Graduate degree","147",1.48,"63000","60800","68900","0.835",24
"Adirondack Beauty School","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.adirondackbeautyschool.org","Mid East","NY","Glens Falls","City","Private for profit","Certificate degree","Rank over 230",1.46,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA
"Adirondack Community College","NULL","NULL","NULL","0.5749092794","0.0673924313","4693","8869","www.sunyacc.edu","Mid East","NY","Queensbury","Suburb","Public","Associate degree","Rank over 230",1.47,"36000","32200","41300","0.621",3
"Adler Graduate School","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.alfredadler.edu","Plains","MN","Richfield","Suburb","Private nonprofit","Graduate degree","Rank over 230",NA,"NULL","NULL","NULL","NULL",0
"Adler University","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.adler.edu","Great Lakes","IL","Chicago","City","Private nonprofit","Graduate degree","Rank over 230",NA,"NULL","NULL","NULL","NULL",3
"Adrian College","0.5841","22","1003","0.4221105528","PrivacySuppressed","34890","34890","www.adrian.edu","Great Lakes","MI","Adrian","Town","Private nonprofit","Graduate degree","Rank over 230",1.38,"42800","34500","50100","0.686",16
"Adrian's College of Beauty Turlock","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.adrians.edu","Far West","CA","Turlock","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Adult and Community Education-Hudson","1","NULL","NULL","0.8166666667","0.3388888889","NULL","NULL","www.ccsoh.us/ACE.aspx","Great Lakes","OH","Columbus","City","Public","Certificate degree","Rank over 230",1.37,"41800","PrivacySuppressed","PrivacySuppressed","0.696",0
"Adult and Continuing Education-BCTS","NULL","NULL","NULL","0.1578947368","0.2105263158","NULL","NULL","bcts.bergen.org/index.php/adult-ed-main-page","Mid East","NJ","Hackensack","Suburb","Public","Certificate degree","Rank over 230",2.07,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Advance Beauty College","NULL","NULL","NULL","0.8022813688","0.5247148289","NULL","NULL","www.advancebeautycollege.com","Far West","CA","Garden Grove","Suburb","Private for profit","Certificate degree","Rank over 230",2.11,"18800","PrivacySuppressed","PrivacySuppressed","0.178",1
"Advance Beauty Techs Academy","NULL","NULL","NULL","0.4403669725","0.1743119266","NULL","NULL","www.abt.edu/","Far West","CA","San Jacinto","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",2
"Advance Science College","NULL","NULL","NULL","0.8387096774","0.4193548387","NULL","NULL","www.asimedschool.com/","Southeast","FL","Hialeah","Suburb","Private for profit","Certificate degree","Rank over 230",3.19,"24500","21900","28500","PrivacySuppressed",0
"Advanced Barber College and Hair Design","NULL","NULL","NULL","0.3269961977","0.1673003802","NULL","NULL","advancedbarbercollege.org/","Southwest","TX","Weslaco","Suburb","Private for profit","Certificate degree","Rank over 230",4.83,"22700","PrivacySuppressed","PrivacySuppressed","0.214",0
"Advanced Beauty College","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.advancedbeautycollege.net","Southwest","TX","Irving","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Advanced Career Institute","NULL","NULL","NULL","0.0507726269","0.2251655629","NULL","NULL","www.advanced.edu","Far West","CA","Visalia","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Advanced College","NULL","NULL","NULL","PrivacySuppressed","0.1573033708","NULL","NULL","www.advancedcollege.edu","Far West","CA","South Gate","Suburb","Private for profit","Associate degree","Rank over 230",4.12,"26000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Advanced College of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.accsuccess.com","Great Lakes","WI","Waupun","Town","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Advanced Computing Institute","NULL","NULL","NULL","0.4031413613","0.2565445026","NULL","NULL","www.advancedcomputinginstitute.edu","Far West","CA","Los Angeles","City","Private for profit","Associate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",NA
"Advanced Institute of Hair Design-Glendale","NULL","NULL","NULL","PrivacySuppressed","0.0671378092","NULL","NULL","www.vicibeautyschool.com","Great Lakes","WI","Glendale","Suburb","Private for profit","Certificate degree","Rank over 230",1.12,"26400","PrivacySuppressed","PrivacySuppressed","0.472",NA
"Advanced Technical Centers","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.advancedtechnicalcenters.com","Southeast","FL","Miami","Suburb","Private nonprofit","Certificate degree","Rank over 230",NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA
"Advanced Technology Institute","0.8833","NULL","NULL","0.0347394541","0.1563275434","13250","13250","www.auto.edu","Southeast","VA","Virginia Beach","City","Private for profit","Associate degree","Rank over 230",1.13,"42400","PrivacySuppressed","PrivacySuppressed","0.776",0
"Advanced Training Associates","NULL","NULL","NULL","0.6797752809","0.3146067416","NULL","NULL","www.advancedtraining.edu","Far West","CA","El Cajon","Suburb","Private for profit","Associate degree","Rank over 230",NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Advanced Training Institute","NULL","NULL","NULL","0.0604982206","0.2206405694","NULL","NULL","www.atitraining.com","Far West","NV","Las Vegas","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Advanced Welding Institute","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.awi.edu","New England","VT","South Burlington","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Advantage Technical College","NULL","NULL","NULL","PrivacySuppressed","0.2212389381","NULL","NULL","www.pespr.edu","Outlying Areas","PR","Manati","Suburb","Private for profit","Certificate degree","Rank over 230",5.35,"25500","PrivacySuppressed","PrivacySuppressed","0.351",0
"Adventist University of Health Sciences","0.7629","20","917","0.8251057828","0.2031029619","13480","13480","www.adu.edu","Southeast","FL","Orlando","City","Private nonprofit","Graduate degree","Rank over 230",1.52,"58200","55600","69100","0.853",18
"Advertising Art Educational Services DBA School of Advertising Art","0.6549","NULL","NULL","0.6934673367","PrivacySuppressed","26181","26181","www.saa.edu","Great Lakes","OH","Kettering","Suburb","Private for profit","Associate degree","Rank over 230",0.8,"31800","PrivacySuppressed","PrivacySuppressed","0.667",0
"Aesthetic Science Institute","NULL","NULL","NULL","PrivacySuppressed","0.1774193548","NULL","NULL","www.aestheticscienceinstitute.edu","Mid East","NY","Latham","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Aesthetics Institute of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","0.225","NULL","NULL","www.aiclakeforest.com/","Mid East","MD","Gaithersburg","City","Private for profit","Certificate degree","Rank over 230",0.55,"32000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA
"Agnes Scott College","0.6469","NULL","NULL","PrivacySuppressed","PrivacySuppressed","38472","38472","www.agnesscott.edu","Southeast","GA","Decatur","Suburb","Private nonprofit","Bachelor's degree","Rank over 230",1.4,"46300","PrivacySuppressed","PrivacySuppressed","0.708",5
"AI Miami International University of Art and Design","NULL","NULL","NULL","0.5718038529","0.1068301226","17700","17700","www.artinstitutes.edu/miami/","Southeast","FL","Miami","City","Private for profit","Graduate degree","Rank over 230",2.08,"34800","33600","36500","0.569",1
"Aiken School of Cosmetology and Barbering","NULL","NULL","NULL","0.75","0.25","NULL","NULL","www.aikenschoolofcosmetology.com","Southeast","SC","Aiken","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Aiken Technical College","NULL","NULL","NULL","0.6634676903","0.1484325016","4348","6634","www.atc.edu","Southeast","SC","Graniteville","Rural","Public","Associate degree","Rank over 230",2.09,"30600","27500","37800","0.491",0
"Ailano School of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.theailanoschool.com","New England","MA","Brockton","Suburb","Private for profit","Certificate degree","Rank over 230",1.1,"26000","PrivacySuppressed","PrivacySuppressed","0.486",NA
"Aims Community College","NULL","NULL","NULL","0.5925394548","0.1712099474","1835","10424","www.aims.edu","Rocky Mountains","CO","Greeley","City","Public","Associate degree","Rank over 230",1.67,"37800","31600","44500","0.638",0
"Akron School of Practical Nursing","0.6154","NULL","NULL","0.8470588235","0.1176470588","NULL","NULL","www.akronschools.com\nursing","Great Lakes","OH","Akron","City","Public","Certificate degree","Rank over 230",1.53,"39400","PrivacySuppressed","PrivacySuppressed","0.788",NA
"Alabama A & M University","0.8738","18","849","0.5640301318","0.0091023227","9366","17496","www.aamu.edu/","Southeast","AL","Normal","City","Public","Graduate degree","Rank over 230",3,"35500","32600","38500","0.599",10
"Alabama College of Osteopathic Medicine","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.acomedu.org/","Southeast","AL","Dothan","Rural","Private nonprofit","Non-degree-granting","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Alabama School of Nail Technology & Cosmetology","0.8462","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.alabamaschoolofnailtechnology.com","Southeast","AL","Jackson","Town","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Alabama Southern Community College","NULL","NULL","NULL","0.5957193817","0.0606420927","4380","7890","www.coastalalabama.edu","Southeast","AL","Monroeville","Rural","Public","Associate degree","Rank over 230",2.98,"31400","24900","47600","0.458",NA
"Alabama State College of Barber Styling","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.ascbs.edu","Southeast","AL","Gardendale","Suburb","Private for profit","Certificate degree","Rank over 230",0.85,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Alabama State University","0.459","17","825","0.6134185304","0.0079872204","9220","16156","www.alasu.edu","Southeast","AL","Montgomery","City","Public","Graduate degree","Rank over 230",2.97,"30600","28300","33000","0.528",23
"Alamance Community College","NULL","NULL","NULL","0.6547897196","0.1390186916","2190","8070","www.alamancecc.edu","Southeast","NC","Graham","Rural","Public","Associate degree","Rank over 230",1.33,"28600","27300","33000","0.559",0
"Alamo City Barber College","NULL","NULL","NULL","0.1418439716","0.1524822695","NULL","NULL","www.alamocitybarbercollege.com","Southwest","TX","San Antonio","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
